row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2025 VND,01/01/2025 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025 VND,numeric__01/01/2025 VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,114.581.827.820.985,82.196.542.019.489,300.0,,114581827820985.0,82196542019489.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,46.604.740.621.386,33.506.383.912.017,310.0,,46604740621386.0,33506383912017.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,17,4.769.470.733.495,6.194.937.427.436,311.0,17.0,4769470733495.0,6194937427436.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,19,1.758.255.581.459,1.515.557.303.596,312.0,19.0,1758255581459.0,1515557303596.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,18(b),112.350.385.719,279.879.006.984,313.0,,112350385719.0,279879006984.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,223.968.578.003,200.772.022.501,314.0,,223968578003.0,200772022501.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,20,3.155.697.870.538,2.460.941.985.604,315.0,20.0,3155697870538.0,2460941985604.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,21,5.178.803.015.292,4.253.048.070.041,318.0,21.0,5178803015292.0,4253048070041.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,22,2.753.087.085.807,3.777.010.028.448,319.0,22.0,2753087085807.0,3777010028448.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,320,23.1(a),25.726.583.406.664,12.140.904.609.919,320.0,,25726583406664.0,12140904609919.0
