row_label_raw,row_label_full,col_0,31/12/2025 > Giá trị VND,31/12/2025 > Dự phòng VND,01/01/2025 > Giá trị VND,01/01/2025 > Dự phòng VND,numeric__31/12/2025 > Giá trị VND,numeric__31/12/2025 > Dự phòng VND,numeric__01/01/2025 > Giá trị VND,numeric__01/01/2025 > Dự phòng VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,16.417.802.025.396,-,14.404.780.037.999,(78.778.440.000),16417802025396.0,,14404780037999.0,-78778440000.0
Thanh toán mua tàu bay nhận trong 12 tháng tiếp theo,Thanh toán mua tàu bay nhận trong 12 tháng tiếp theo,Thanh toán mua tàu bay nhận trong 12 tháng tiếp theo,2.589.978.833.875,-,24.720.000.000,-,2589978833875.0,,24720000000.0,
Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Đóng góp vào quỹ bảo dưỡng tàu bay thuê,7.571.021.946.027,-,4.104.941.320.777,-,7571021946027.0,,4104941320777.0,
Phải thu từ chuyển nhượng quyền kinh doanh tòa nhà,Phải thu từ chuyển nhượng quyền kinh doanh tòa nhà,Phải thu từ chuyển nhượng quyền kinh doanh tòa nhà,-,-,2.452.888.880.000,-,,,2452888880000.0,
Phải thu từ hợp tác kinh doanh,Phải thu từ hợp tác kinh doanh,Phải thu từ hợp tác kinh doanh,-,-,2.186.560.400.000,-,,,2186560400000.0,
Phải thu từ chuyển nhượng cổ phần,Phải thu từ chuyển nhượng cổ phần,Phải thu từ chuyển nhượng cổ phần,-,-,1.716.600.000.000,-,,,1716600000000.0,
Khác,Khác,Khác,6.256.801.245.494,,3.919.069.437.222,(78.778.440.000),6256801245494.0,,3919069437222.0,-78778440000.0
Dài hạn,Dài hạn,Dài hạn,18.989.614.450.867,-,23.998.282.804.699,-,18989614450867.0,,23998282804699.0,
Đóng góp định kỳ quỹ bảo dưỡng tàu bay,Đóng góp định kỳ quỹ bảo dưỡng tàu bay,Đóng góp định kỳ quỹ bảo dưỡng tàu bay,10.523.504.967.871,-,12.563.933.622.570,-,10523504967871.0,,12563933622570.0,
Đặt cọc thuê tàu bay,Đặt cọc thuê tàu bay,Đặt cọc thuê tàu bay,3.430.575.905.353,-,2.632.673.168.297,-,3430575905353.0,,2632673168297.0,
Thanh toán mua tàu bay nhận sau 12 tháng tiếp theo,Thanh toán mua tàu bay nhận sau 12 tháng tiếp theo,Thanh toán mua tàu bay nhận sau 12 tháng tiếp theo,-,-,3.347.587.646.013,-,,,3347587646013.0,
Khác,Khác,Khác,5.035.533.577.643,-,5.454.088.367.819,-,5035533577643.0,,5454088367819.0,
,,,35.407.416.476.263,-,38.403.062.842.698,(78.778.440.000),35407416476263.0,,38403062842698.0,-78778440000.0
Trong đó: Phải thu khác là các bên liên quan(chỉ tiết tại Thuyết minh số 39.1),Trong đó: Phải thu khác là các bên liên quan(chỉ tiết tại Thuyết minh số 39.1),Trong đó: Phải thu khác là các bên liên quan(chỉ tiết tại Thuyết minh số 39.1),Trong đó: Phải thu khác là các bên liên quan(chỉ tiết tại Thuyết minh số 39.1),Trong đó: Phải thu khác là các bên liên quan(chỉ tiết tại Thuyết minh số 39.1),Trong đó: Phải thu khác là các bên liên quan(chỉ tiết tại Thuyết minh số 39.1),Trong đó: Phải thu khác là các bên liên quan(chỉ tiết tại Thuyết minh số 39.1),,,,
+ Ngắn hạn,Trong đó: Phải thu khác là các bên liên quan(chỉ tiết tại Thuyết minh số 39.1) > + Ngắn hạn,+ Ngắn hạn,5.362.804.192.730,-,2.345.476.000.916,-,5362804192730.0,,2345476000916.0,
+ Dài hạn,Trong đó: Phải thu khác là các bên liên quan(chỉ tiết tại Thuyết minh số 39.1) > + Dài hạn,+ Dài hạn,1.332.497.487.869,-,4.823.279.530.229,-,1332497487869.0,,4823279530229.0,
