row_label_raw,row_label_full,col_0,2019(đã điều chỉnh lại)VND,2019(theo báo cáotrước đây)VND,numeric__2019(đã điều chỉnh lại)VND,numeric__2019(theo báo cáotrước đây)VND
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,367.117.178.998,366.328.378.998,367117178998.0,366328378998.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,727.502.786.603,726.713.986.603,727502786603.0,726713986603.0
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,766.289.195.071,765.500.395.071,766289195071.0,765500395071.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,717.126.464.864,716.337.664.864,717126464864.0,716337664864.0
Phân bổ cho:,Phân bổ cho:,Phân bổ cho:,Phân bổ cho:,Phân bổ cho:,,
Cổ đông của công ty mẹ,Phân bổ cho: > Cổ đông của công ty mẹ,Cổ đông của công ty mẹ,519.521.527.686,518.732.727.686,519521527686.0,518732727686.0
