row_label_raw,row_label_full,col_0,Chi phí di dòi VND,Khác VND,Tổng cộng VND,numeric__Chi phí di dòi VND,numeric__Khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,24.665.668.570,5.421.180.821,30.086.849.391,24665668570.0,5421180821.0,30086849391.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,-,6.224.462.041,6.224.462.041,,6224462041.0,6224462041.0
Dự phòng sử dụng trong kỳ,Dự phòng sử dụng trong kỳ,Dự phòng sử dụng trong kỳ,-,(2.999.389.433),(2.999.389.433),,-2999389433.0,-2999389433.0
Dự phòng hoàn nhập trong năm,Dự phòng hoàn nhập trong năm,Dự phòng hoàn nhập trong năm,-,(724.398.343),(724.398.343),,-724398343.0,-724398343.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,24.665.668.570,7.921.855.086,32.587.523.656,24665668570.0,7921855086.0,32587523656.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Dự phòng phải trả ngắn hạn,Trong đó: > Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,-,5.634.013.216,5.634.013.216,,5634013216.0,5634013216.0
Dự phòng phải trả dài hạn,Trong đó: > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,24.665.668.570,2.287.841.870,26.953.510.440,24665668570.0,2287841870.0,26953510440.0
