row_label_raw,row_label_full,col_0,Giá trị ghi sổ của tài sản thuần tại ngày mất quyền kiểm soát VND,numeric__Giá trị ghi sổ của tài sản thuần tại ngày mất quyền kiểm soát VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,7.406.487.769,7406487769.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,1.600.000.000,1600000000.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,69.901.984.770,69901984770.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,863.334.586,863334586.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,120.494.882.242,120494882242.0
Thuế và các khoản khác phải thu của Nhà nước,Thuế và các khoản khác phải thu của Nhà nước,Thuế và các khoản khác phải thu của Nhà nước,252.079.573,252079573.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,681.006.189,681006189.0
Tài sản cố định hữu hình – nguyên giá,Tài sản cố định hữu hình – nguyên giá,Tài sản cố định hữu hình – nguyên giá,328.264.160.703,328264160703.0
Tài sản cố định hữu hình – giá trị hao mòn lũy kế,Tài sản cố định hữu hình – giá trị hao mòn lũy kế,Tài sản cố định hữu hình – giá trị hao mòn lũy kế,(167.747.431.368),-167747431368.0
Tài sản cố định vô hình – nguyên giá,Tài sản cố định vô hình – nguyên giá,Tài sản cố định vô hình – nguyên giá,484.000.000,484000000.0
Tài sản cố định vô hình – giá trị hao mòn lũy kế,Tài sản cố định vô hình – giá trị hao mòn lũy kế,Tài sản cố định vô hình – giá trị hao mòn lũy kế,(290.400.000),-290400000.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,7.028.893.348,7028893348.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(38.969.768.922),-38969768922.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(13.875.814.948),-13875814948.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(221.874.185.471),-221874185471.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,(59.123.243.650),-59123243650.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",(739.769.928),-739769928.0
Giá trị ghi sổ của tài sản thuần tại ngày mất quyền kiểm soát,Giá trị ghi sổ của tài sản thuần tại ngày mất quyền kiểm soát,Giá trị ghi sổ của tài sản thuần tại ngày mất quyền kiểm soát,34.356.214.893,34356214893.0
Lợi ích cố đông không kiểm soát của công ty con cấp 2,Lợi ích cố đông không kiểm soát của công ty con cấp 2,Lợi ích cố đông không kiểm soát của công ty con cấp 2,(8.388.642.470),-8388642470.0
Phần tài sản thuần thuộc công ty con cấp 2 tại ngày mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 2 tại ngày mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 2 tại ngày mất quyền kiểm soát,25.967.572.423,25967572423.0
Phần tài sản thuần thuộc công ty con cấp 2 sau khi mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 2 sau khi mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 2 sau khi mất quyền kiểm soát,-,
Giá trị tài sản thuần chuyển nhượng,Phần tài sản thuần thuộc công ty con cấp 2 sau khi mất quyền kiểm soát > Giá trị tài sản thuần chuyển nhượng,Giá trị tài sản thuần chuyển nhượng,25.967.572.423,25967572423.0
Lãi từ thoái vốn đầu tư vào công ty con (Thuyết minh 37),Phần tài sản thuần thuộc công ty con cấp 2 sau khi mất quyền kiểm soát > Lãi từ thoái vốn đầu tư vào công ty con (Thuyết minh 37),Lãi từ thoái vốn đầu tư vào công ty con (Thuyết minh 37),25.074.373.577,25074373577.0
Tiền thu được từ thoái vốn,Phần tài sản thuần thuộc công ty con cấp 2 sau khi mất quyền kiểm soát > Tiền thu được từ thoái vốn,Tiền thu được từ thoái vốn,51.041.946.000,51041946000.0
Khoản tiền giảm do thoái vốn đầu tư vào công ty con,Phần tài sản thuần thuộc công ty con cấp 2 sau khi mất quyền kiểm soát > Khoản tiền giảm do thoái vốn đầu tư vào công ty con,Khoản tiền giảm do thoái vốn đầu tư vào công ty con,(7.406.487.769),-7406487769.0
Khoản tiền thuần tăng lên do thoái vốn đầu tư vào công ty con,Phần tài sản thuần thuộc công ty con cấp 2 sau khi mất quyền kiểm soát > Khoản tiền thuần tăng lên do thoái vốn đầu tư vào công ty con,Khoản tiền thuần tăng lên do thoái vốn đầu tư vào công ty con,43.635.458.231,43635458231.0
