row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch đánh giá lại tài sản (*) VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Nguồn vốn đầu tư xây dựng cơ bản VND,Lợi ích cổ đông không kiểm soát VND,Tổng vốn chu sở hữu VND,Ngườn kính phí và các quỹ khác VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch đánh giá lại tài sản (*) VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Nguồn vốn đầu tư xây dựng cơ bản VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng vốn chu sở hữu VND,numeric__Ngườn kính phí và các quỹ khác VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2019 – đã điều chỉnh lại,Số dư tại ngày 1/1/2019 – đã điều chỉnh lại,Số dư tại ngày 1/1/2019 – đã điều chỉnh lại,5.000.000.000.000,30.361.932.352,42.248.630.739,(752.679.567.958),526.746.543.959,662.646.196.041,550.677.792.232,1.899.300.912.234,7.959.302.439.599,30.381.025.002,7.989.683.464.601,5000000000000.0,30361932352.0,42248630739.0,-752679567958.0,526746543959.0,662646196041.0,550677792232.0,1899300912234.0,7959302439599.0,30381025002.0,7989683464601.0
Số dư tại ngày 1/1/2019 - đã báo cáo trước đây,Số dư tại ngày 1/1/2019 - đã báo cáo trước đây,Số dư tại ngày 1/1/2019 - đã báo cáo trước đây,5.000.000.000.000,29.911.650.892,42.248.630.739,(740.362.454.896),526.746.543.959,657.194.845.550,550.677.792.232,1.899.300.912.234,7.965.717.920.710,30.381.025.002,7.996.098.945.712,5000000000000.0,29911650892.0,42248630739.0,-740362454896.0,526746543959.0,657194845550.0,550677792232.0,1899300912234.0,7965717920710.0,30381025002.0,7996098945712.0
Điều chỉnh loi (Thuyết mình 48),Điều chỉnh loi (Thuyết mình 48),Điều chỉnh loi (Thuyết mình 48),-,450.281.460,-,(12.317.113.062),-,5.451.350.491,-,-,(6.415.481.111),-,(6.415.481.111),,450281460.0,,-12317113062.0,,5451350491.0,,,-6415481111.0,,-6415481111.0
Vốn góp/vốn cổ phần,Vốn góp/vốn cổ phần,Vốn góp/vốn cổ phần,-,-,-,-,-,-,-,23.107.250.000,23.107.250.000,-,23.107.250.000,,,,,,,,23107250000.0,23107250000.0,,23107250000.0
Lợi nhuận thuần trong năm - đã điều chỉnh lại,Lợi nhuận thuần trong năm - đã điều chỉnh lại,Lợi nhuận thuần trong năm - đã điều chỉnh lại,-,-,-,-,-,519.521.527.686,-,197.604.937.178,717.126.464.864,-,717.126.464.864,,,,,,519521527686.0,,197604937178.0,717126464864.0,,717126464864.0
Lợi nhuận thuần trong năm - đã báo cáo trước đây,Lợi nhuận thuần trong năm - đã báo cáo trước đây,Lợi nhuận thuần trong năm - đã báo cáo trước đây,-,-,-,-,-,518.732.727.686,-,197.604.937.178,716.337.664.864,-,716.337.664.864,,,,,,518732727686.0,,197604937178.0,716337664864.0,,716337664864.0
Đã điều chỉnh loi (Thuyết mình 48),Đã điều chỉnh loi (Thuyết mình 48),Đã điều chỉnh loi (Thuyết mình 48),-,-,-,-,-,788.800.000,-,-,788.800.000,-,788.800.000,,,,,,788800000.0,,,788800000.0,,788800000.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,21.322.272.796,(21.322.272.796),-,-,-,-,-,,,,,21322272796.0,-21322272796.0,,,,,
"Phân bổ vào quỹ khien thưởng, phúc loi","Phân bổ vào quỹ khien thưởng, phúc loi","Phân bổ vào quỹ khien thưởng, phúc loi",-,-,-,-,-,(76.252.061.332),-,(11.411.643.162),(87.663.704.494),-,(87.663.704.494),,,,,,-76252061332.0,,-11411643162.0,-87663704494.0,,-87663704494.0
Sư dụng các quỹ,Sư dụng các quỹ,Sư dụng các quỹ,-,-,-,-,(1.087.554.708),-,-,(1.127.068.458),(2.214.623.166),(2.041.627.020),(4.256.250.186),,,,,-1087554708.0,,,-1127068458.0,-2214623166.0,-2041627020.0,-4256250186.0
