row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sản khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.188.943.735.124,4.758.519.389.884,174.732.041.330,54.322.092.753,105.603.554.340,6.282.120.813.431,1188943735124.0,4758519389884.0,174732041330.0,54322092753.0,105603554340.0,6282120813431.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,157.050.483.358,546.271.417.191,26.681.831.380,5.281.132.838,33.259.855.358,768.544.720.125,157050483358.0,546271417191.0,26681831380.0,5281132838.0,33259855358.0,768544720125.0
Nhận lại tài sản cho thuê tài chính(Thuyết minh 9),Giá trị hao mòn lũy kế > Nhận lại tài sản cho thuê tài chính(Thuyết minh 9),Nhận lại tài sản cho thuê tài chính(Thuyết minh 9),-,20.625.136.914,-,-,-,20.625.136.914,,20625136914.0,,,,20625136914.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(1.760.919.261),-,-,-,-,(1.760.919.261),-1760919261.0,,,,,-1760919261.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(1.141.631.435),(68.014.082.992),(5.901.504.776),(498.567.126),(1.889.277.884),(77.445.064.213),-1141631435.0,-68014082992.0,-5901504776.0,-498567126.0,-1889277884.0,-77445064213.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(11.784.613.812),-,-,-,(11.784.613.812),,-11784613812.0,,,,-11784613812.0
Giảm do thoái vốn đầu tuervào các công ty con,Giá trị hao mòn lũy kế > Giảm do thoái vốn đầu tuervào các công ty con,Giảm do thoái vốn đầu tuervào các công ty con,(34.971.978.876),(130.760.711.849),(1.552.484.473),(462.256.170),-,(167.747.431.368),-34971978876.0,-130760711849.0,-1552484473.0,-462256170.0,,-167747431368.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.308.119.688.910,5.114.856.535.336,193.959.883.461,58.642.402.295,136.974.131.814,6.812.552.641.816,1308119688910.0,5114856535336.0,193959883461.0,58642402295.0,136974131814.0,6812552641816.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.338.857.822.372,3.985.324.372.448,134.233.219.061,42.620.124.610,74.965.771.538,6.576.001.310.029,2338857822372.0,3985324372448.0,134233219061.0,42620124610.0,74965771538.0,6576001310029.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.338.628.184.998,3.553.087.145.236,139.771.289.200,39.511.590.686,45.607.113.802,6.116.605.323.922,2338628184998.0,3553087145236.0,139771289200.0,39511590686.0,45607113802.0,6116605323922.0
