row_label_raw,row_label_full,col_0,1/1/2020 > Giá trị ghi số và số có khả năng trả nợ VND,1/1/2020 > Tăng VND,Biến động trong năm > Giảm VND,Biến động trong năm > Giảm do thoái vốn đầu tư vào công ty con VND,Biến động trong năm > Chênh lệch tỷ giá VND,31/12/2020 > Giá trị ghi số và số có khả năng trả nợ VND,numeric__1/1/2020 > Giá trị ghi số và số có khả năng trả nợ VND,numeric__1/1/2020 > Tăng VND,numeric__Biến động trong năm > Giảm VND,numeric__Biến động trong năm > Giảm do thoái vốn đầu tư vào công ty con VND,numeric__Biến động trong năm > Chênh lệch tỷ giá VND,numeric__31/12/2020 > Giá trị ghi số và số có khả năng trả nợ VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.928.890.364.969,9.992.137.120.845,(11.107.934.897.391),(221.874.185.471),(1.677.895.278),2.589.540.507.674,3928890364969.0,9992137120845.0,-11107934897391.0,-221874185471.0,-1677895278.0,2589540507674.0
Vay dài hạn đến hạn trả (Thuyết minh 26(b)),Vay dài hạn đến hạn trả (Thuyết minh 26(b)),Vay dài hạn đến hạn trả (Thuyết minh 26(b)),573.833.327.194,508.838.382.249,(490.139.669.480),-,44.219.235,592.576.259.198,573833327194.0,508838382249.0,-490139669480.0,,44219235.0,592576259198.0
Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,28.820.281.712,19.557.461.350,(29.536.374.443),-,13.409.418,18.854.778.037,28820281712.0,19557461350.0,-29536374443.0,,13409418.0,18854778037.0
,,,4.531.543.973.875,10.520.532.964.444,(11.627.610.941.314),(221.874.185.471),(1.620.266.625),3.200.971.544.909,4531543973875.0,10520532964444.0,-11627610941314.0,-221874185471.0,-1620266625.0,3200971544909.0
