row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tài sản khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,142.755.275.479,28.166.776.204,1.101.661.600,172.023.713.283,142755275479.0,28166776204.0,1101661600.0,172023713283.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.052.422.336,-,1.052.422.336,,1052422336.0,,1052422336.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,30.922.000,-,30.922.000,,30922000.0,,30922000.0
Giảm do thoái vốn đầu tư vào công ty con,Nguyên giá > Giảm do thoái vốn đầu tư vào công ty con,Giảm do thoái vốn đầu tư vào công ty con,-,(484.000.000),-,(484.000.000),,-484000000.0,,-484000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,142.755.275.479,28.766.120.540,1.101.661.600,172.623.057.619,142755275479.0,28766120540.0,1101661600.0,172623057619.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,26.546.228.686,22.159.417.658,671.920.509,49.377.566.853,26546228686.0,22159417658.0,671920509.0,49377566853.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,6.402.822.458,1.919.714.188,29.487.504,8.352.024.150,6402822458.0,1919714188.0,29487504.0,8352024150.0
Giảm do thoái vốn đầu tư vào công ty con,Giá trị hao mòn lũy kế > Giảm do thoái vốn đầu tư vào công ty con,Giảm do thoái vốn đầu tư vào công ty con,-,(290.400.000),-,(290.400.000),,-290400000.0,,-290400000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,32.949.051.144,23.788.731.846,701.408.013,57.439.191.003,32949051144.0,23788731846.0,701408013.0,57439191003.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,116.209.046.793,6.007.358.546,429.741.091,122.646.146.430,116209046793.0,6007358546.0,429741091.0,122646146430.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,109.806.224.335,4.977.388.694,400.253.587,115.183.866.616,109806224335.0,4977388694.0,400253587.0,115183866616.0
