row_label_raw,row_label_full,Năm 2020,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,numeric__Nội địa VND,numeric__Xuất khẩu VND,numeric__Hợp nhất VND
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,4.755.381.973.420,9.153.600.087.827,13.908.982.061.247,4755381973420.0,9153600087827.0,13908982061247.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,557.445.059.544,722.227.756.455,1.279.672.815.999,557445059544.0,722227756455.0,1279672815999.0
Thu nhập không phân bổ,Thu nhập không phân bổ,Thu nhập không phân bổ,,,833.216.112.334,,,833216112334.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,(1.528.273.742.734),,,-1528273742734.0
Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,584.615.185.599,,,584615185599.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,100.415.689.802,,,100415689802.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(91.635.832.288),,,-91635832288.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,(32.853.852.385),,,-32853852385.0
Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,560.541.190.728,,,560541190728.0
Năm 2019 – đã điều chỉnh lại,Năm 2019 – đã điều chỉnh lại,Năm 2019 – đã điều chỉnh lại,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,,,
Tổng doanh thu của bộ phận,Năm 2019 – đã điều chỉnh lại > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,7.967.827.690.574,11.018.178.706.223,18.986.006.396.797,7967827690574.0,11018178706223.0,18986006396797.0
Kết quả kinh doanh của bộ phận,Năm 2019 – đã điều chỉnh lại > Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,278.684.084.342,1.237.138.902.641,1.515.822.986.983,278684084342.0,1237138902641.0,1515822986983.0
Thu nhập không phân bổ,Năm 2019 – đã điều chỉnh lại > Thu nhập không phân bổ,Thu nhập không phân bổ,,,1.067.774.088.516,,,1067774088516.0
Chi phí không phân bổ,Năm 2019 – đã điều chỉnh lại > Chi phí không phân bổ,Chi phí không phân bổ,,,(1.856.094.288.896),,,-1856094288896.0
Kết quả từ hoạt động kinh doanh,Năm 2019 – đã điều chỉnh lại > Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,727.502.786.603,,,727502786603.0
Thu nhập khác,Năm 2019 – đã điều chỉnh lại > Thu nhập khác,Thu nhập khác,,,86.051.171.368,,,86051171368.0
Chi phí khác,Năm 2019 – đã điều chỉnh lại > Chi phí khác,Chi phí khác,,,(47.264.762.900),,,-47264762900.0
Thuế thu nhập doanh nghiệp,Năm 2019 – đã điều chỉnh lại > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,(49.162.730.207),,,-49162730207.0
Lợi nhuận thuần sau thuế TNDN,Năm 2019 – đã điều chỉnh lại > Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,717.126.464.864,,,717126464864.0
