row_label_raw,row_label_full,col_0,31/12/2020VND,1/1/2020VNDĐã điều chỉnh lại,numeric__31/12/2020VND,numeric__1/1/2020VNDĐã điều chỉnh lại
Phải thu cổ tức và lợi nhuận được chia,Phải thu cổ tức và lợi nhuận được chia,Phải thu cổ tức và lợi nhuận được chia,448.767.153.074,537.714.824.026,448767153074.0,537714824026.0
Góp vốn vào hợp đồng hợp tác kinh doanh,Góp vốn vào hợp đồng hợp tác kinh doanh,Góp vốn vào hợp đồng hợp tác kinh doanh,135.000.000.000,225.000.000.000,135000000000.0,225000000000.0
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,97.350.843.232,108.490.160.101,97350843232.0,108490160101.0
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",78.555.700.215,67.942.745.612,78555700215.0,67942745612.0
Phải thu Công ty Cổ phần Vinatex Quốc tế về các hợp đồng cho thuê tài sản,Phải thu Công ty Cổ phần Vinatex Quốc tế về các hợp đồng cho thuê tài sản,Phải thu Công ty Cổ phần Vinatex Quốc tế về các hợp đồng cho thuê tài sản,-,31.097.155.583,,31097155583.0
Phải thu các khoản tạm ứng,Phải thu các khoản tạm ứng,Phải thu các khoản tạm ứng,8.445.870.639,13.423.239.425,8445870639.0,13423239425.0
Phải thu lãi tiền gửi ngân hàng,Phải thu lãi tiền gửi ngân hàng,Phải thu lãi tiền gửi ngân hàng,12.888.419.217,20.584.312.082,12888419217.0,20584312082.0
Phải thu từ tiền phạt hợp đồng,Phải thu từ tiền phạt hợp đồng,Phải thu từ tiền phạt hợp đồng,14.134.181.201,13.297.799.850,14134181201.0,13297799850.0
Các khoản chi hộ,Các khoản chi hộ,Các khoản chi hộ,12.113.711.863,3.029.332.110,12113711863.0,3029332110.0
Phải thu người lao động,Phải thu người lao động,Phải thu người lao động,3.084.231.799,4.869.040.422,3084231799.0,4869040422.0
Phải thu chuyển nhượng dự án đầu tư,Phải thu chuyển nhượng dự án đầu tư,Phải thu chuyển nhượng dự án đầu tư,-,10.000.000.000,,10000000000.0
Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,-,1.330.000,,1330000.0
Phải thu bảo hiểm bồi thường,Phải thu bảo hiểm bồi thường,Phải thu bảo hiểm bồi thường,21.873.453.797,-,21873453797.0,
Phải thu về bàn giao tài sản,Phải thu về bàn giao tài sản,Phải thu về bàn giao tài sản,23.181.818.182,-,23181818182.0,
Phải thu về tạm ứng cho Công ty Cổ Phần Đệt May Liên Phương,Phải thu về tạm ứng cho Công ty Cổ Phần Đệt May Liên Phương,Phải thu về tạm ứng cho Công ty Cổ Phần Đệt May Liên Phương,16.322.000.000,16.322.000.000,16322000000.0,16322000000.0
Phải thu khác,Phải thu khác,Phải thu khác,26.013.541.135,7.829.609.369,26013541135.0,7829609369.0
,,,897.730.924.354,1.059.601.548.580,897730924354.0,1059601548580.0
