row_label_raw,row_label_full,Tại ngày 31/12/2020,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,numeric__Nội địa VND,numeric__Xuất khẩu VND,numeric__Hợp nhất VND
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,925.369.635.032,654.284.481.544,1.579.654.116.576,925369635032.0,654284481544.0,1579654116576.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,16.440.022.325.166,,,16440022325166.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,18.019.676.441.742,,,18019676441742.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,808.634.359.857,710.807.167.479,1.519.441.527.336,808634359857.0,710807167479.0,1519441527336.0
Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,8.431.618.016.794,,,8431618016794.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,9.951.059.544.130,,,9951059544130.0
Tại ngày 1/1/2020 – đã điều chỉnh lại,Tại ngày 1/1/2020 – đã điều chỉnh lại,Tại ngày 1/1/2020 – đã điều chỉnh lại,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,,,
Tài sản của bộ phận,Tại ngày 1/1/2020 – đã điều chỉnh lại > Tài sản của bộ phận,Tài sản của bộ phận,1.749.976.376.689,309.945.972.417,2.059.922.349.106,1749976376689.0,309945972417.0,2059922349106.0
Tài sản không phân bổ,Tại ngày 1/1/2020 – đã điều chỉnh lại > Tài sản không phân bổ,Tài sản không phân bổ,,,17.756.599.931.359,,,17756599931359.0
Tổng tài sản,Tại ngày 1/1/2020 – đã điều chỉnh lại > Tổng tài sản,Tổng tài sản,,,19.816.522.280.465,,,19816522280465.0
Nợ phải trả của bộ phận,Tại ngày 1/1/2020 – đã điều chỉnh lại > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,160.929.647.068,1.273.446.659.264,1.434.376.306.332,160929647068.0,1273446659264.0,1434376306332.0
Các khoản nợ không phân bổ,Tại ngày 1/1/2020 – đã điều chỉnh lại > Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,10.448.123.613.051,,,10448123613051.0
Tổng nợ phải trả,Tại ngày 1/1/2020 – đã điều chỉnh lại > Tổng nợ phải trả,Tổng nợ phải trả,,,11.882.499.919.383,,,11882499919383.0
