row_label_raw,row_label_full,STT,Tên đơn vị,Tỷ lệ sở hữu của Tập đoàn > 31/12/2020,Tỷ lệ sở hữu của Tập đoàn > 1/1/2020,Giá trị đầu tư theo mệnh giá VND > 31/12/2020,Giá trị đầu tư theo mệnh giá VND > 1/1/2020,numeric__Tên đơn vị,numeric__Tỷ lệ sở hữu của Tập đoàn > 31/12/2020,numeric__Tỷ lệ sở hữu của Tập đoàn > 1/1/2020,numeric__Giá trị đầu tư theo mệnh giá VND > 31/12/2020,numeric__Giá trị đầu tư theo mệnh giá VND > 1/1/2020
Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hà Nội,Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hà Nội,Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hà Nội,Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hà Nội,Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hà Nội,Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hà Nội,Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hà Nội,Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hà Nội,,,,,
25,Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hà Nội > 25,25,Công ty Cổ phần May Đông Mỹ Hanosimex,"16,68%","16,68%",1.159.000.000,1.159.000.000,,0.1668,0.1668,1159000000.0,1159000000.0
Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hòa Thọ,,,,,
26,Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hòa Thọ > 26,26,Công ty Cổ phần May Hòa Thọ - Phú Ninh,"12,99%","12,99%",4.000.000.000,4.000.000.000,,0.12990000000000002,0.12990000000000002,4000000000.0,4000000000.0
27,Công ty liên kết của Tổng Công ty Cổ phần Đệt May Hòa Thọ > 27,27,Công ty Cổ phần Hòa Thọ - Quảng Nam,"20,88%","20,88%",6.428.000.000,6.428.000.000,,0.20879999999999999,0.20879999999999999,6428000000.0,6428000000.0
Công ty liên kết của Tổng Công ty Cổ phần Phong Phú,Công ty liên kết của Tổng Công ty Cổ phần Phong Phú,Công ty liên kết của Tổng Công ty Cổ phần Phong Phú,Công ty liên kết của Tổng Công ty Cổ phần Phong Phú,Công ty liên kết của Tổng Công ty Cổ phần Phong Phú,Công ty liên kết của Tổng Công ty Cổ phần Phong Phú,Công ty liên kết của Tổng Công ty Cổ phần Phong Phú,Công ty liên kết của Tổng Công ty Cổ phần Phong Phú,,,,,
28,Công ty liên kết của Tổng Công ty Cổ phần Phong Phú > 28,28,Công ty TNHH Coats Phong Phú,"17,86%","17,86%",80.347.424.000,80.347.424.000,,0.17859999999999998,0.17859999999999998,80347424000.0,80347424000.0
29,Công ty liên kết của Tổng Công ty Cổ phần Phong Phú > 29,29,Công ty Cổ phần đầu tư phát triển nhà và đô thị HUD Sài Gòn,"10,77%","10,77%",10.000.000.000,10.000.000.000,,0.10769999999999999,0.10769999999999999,10000000000.0,10000000000.0
30,Công ty liên kết của Tổng Công ty Cổ phần Phong Phú > 30,30,Công ty Cổ phần May Đà Lạt,"20,04%","20,04%",4.231.000.000,4.231.000.000,,0.2004,0.2004,4231000000.0,4231000000.0
31,Công ty liên kết của Tổng Công ty Cổ phần Phong Phú > 31,31,Công ty Cổ phần Phát triển Nhà Phong Phú - Daewoon - Thủ Đức,"22,05%","22,05%",144.586.200.608,144.586.200.608,,0.2205,0.2205,144586200608.0,144586200608.0
32,Công ty liên kết của Tổng Công ty Cổ phần Phong Phú > 32,32,Công ty Cổ phần Đệt Đông Nam,"18,03%","18,03%",21.724.480.000,21.724.480.000,,0.18030000000000002,0.18030000000000002,21724480000.0,21724480000.0
33,Công ty liên kết của Tổng Công ty Cổ phần Phong Phú > 33,33,Công ty Cổ phần Đệt May Nha Trang,"15,20%","15,20%",56.143.750.000,56.143.750.000,,0.152,0.152,56143750000.0,56143750000.0
34,Công ty liên kết của Tổng Công ty Cổ phần Phong Phú > 34,34,Công ty Cổ phần Xúc tiến Thương mại và Đầu tư Phong Phú,"15,89%","15,89%",6.341.919.708,6.341.919.708,,0.1589,0.1589,6341919708.0,6341919708.0
