row_label_raw,row_label_full,19. Chi phí trả trước,19. Chi phí trả trước_1,19. Chi phí trả trước_2,19. Chi phí trả trước_3,19. Chi phí trả trước_4,19. Chi phí trả trước_5,19. Chi phí trả trước_6,19. Chi phí trả trước_7,19. Chi phí trả trước_8,numeric__19. Chi phí trả trước_1,numeric__19. Chi phí trả trước_2,numeric__19. Chi phí trả trước_3,numeric__19. Chi phí trả trước_4,numeric__19. Chi phí trả trước_5,numeric__19. Chi phí trả trước_6,numeric__19. Chi phí trả trước_7,numeric__19. Chi phí trả trước_8
(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,,31/12/2020VND,1/1/2020VND,,,,,,,,,,,,,
Trả trước phí bảo hiểm,(a) Chi phí trả trước ngắn hạn > Trả trước phí bảo hiểm,Trả trước phí bảo hiểm,,4.698.710.194,14.514.864.161,,,,,,,4698710194.0,14514864161.0,,,,,
Chi phí trả trước về thuê hoạt động,(a) Chi phí trả trước ngắn hạn > Chi phí trả trước về thuê hoạt động,Chi phí trả trước về thuê hoạt động,,2.633.334.156,8.957.276.927,,,,,,,2633334156.0,8957276927.0,,,,,
Công cụ dụng cụ,(a) Chi phí trả trước ngắn hạn > Công cụ dụng cụ,Công cụ dụng cụ,,9.834.638.054,11.198.995.818,,,,,,,9834638054.0,11198995818.0,,,,,
Chi phí trả trước ngắn hạn khác,(a) Chi phí trả trước ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,,8.399.438.356,11.518.706.207,,,,,,,8399438356.0,11518706207.0,,,,,
,,,,25.566.120.760,46.189.843.113,,,,,,,25566120760.0,46189843113.0,,,,,
(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,,,,,,,,
,,,Chi phí đấttrả trướcVND,"Chi phí thuềvăn phòng,nhà xưởngtrả trướcVND","Công cụ,dụng cụVND",Phụ tùngthay thểVND,Chi phísửa chữa lớntài sản cố địnhVND,Chênh lệchtỷ giá (*)VND,Chi phí trả trướcđài hạn khácVND,Tổng cộngVND,,,,,,,,
Số dư đầu năm,(b) Chi phí trả trước dài hạn > Số dư đầu năm,Số dư đầu năm,223.129.318.144,23.678.131.173,59.535.290.412,16.550.387.628,23.311.247.477,6.058.425.748,29.709.680.805,381.972.481.387,223129318144.0,23678131173.0,59535290412.0,16550387628.0,23311247477.0,6058425748.0,29709680805.0,381972481387.0
Tăng trong năm,(b) Chi phí trả trước dài hạn > Tăng trong năm,Tăng trong năm,1.209.916.808,6.323.007.116,59.212.820.922,290.639.998,15.142.619.463,-,40.803.303.927,122.982.308.234,1209916808.0,6323007116.0,59212820922.0,290639998.0,15142619463.0,,40803303927.0,122982308234.0
Chuyên tử xây dựng cơ bản dở dang,(b) Chi phí trả trước dài hạn > Chuyên tử xây dựng cơ bản dở dang,Chuyên tử xây dựng cơ bản dở dang,-,-,17.522.239.529,-,4.362.770.805,-,-,21.885.010.334,,,17522239529.0,,4362770805.0,,,21885010334.0
Phân bổ trong năm,(b) Chi phí trả trước dài hạn > Phân bổ trong năm,Phân bổ trong năm,(8.238.764.825),(5.220.613.794),(56.327.836.144),(9.810.421.132),(9.176.518.000),(3.029.212.872),(26.404.084.313),(118.207.451.080),-8238764825.0,-5220613794.0,-56327836144.0,-9810421132.0,-9176518000.0,-3029212872.0,-26404084313.0,-118207451080.0
Giảm do thoái vốn đầu tư vào các công ty con,(b) Chi phí trả trước dài hạn > Giảm do thoái vốn đầu tư vào các công ty con,Giảm do thoái vốn đầu tư vào các công ty con,-,-,-,(7.028.893.348),-,-,-,(7.028.893.348),,,,-7028893348.0,,,,-7028893348.0
Thanh lý,(b) Chi phí trả trước dài hạn > Thanh lý,Thanh lý,(13.033.921.623),-,-,-,-,-,-,(13.033.921.623),-13033921623.0,,,,,,,-13033921623.0
Số dư cuối năm,(b) Chi phí trả trước dài hạn > Số dư cuối năm,Số dư cuối năm,203.066.548.504,24.780.524.495,79.942.514.719,1.713.146,33.640.119.745,3.029.212.876,44.108.900.419,388.569.533.904,203066548504.0,24780524495.0,79942514719.0,1713146.0,33640119745.0,3029212876.0,44108900419.0,388569533904.0
