row_label_raw,row_label_full,col_0,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Tỷ lệ %sở hữu,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > 31/12/2020 > Tỷ lệ %quyềnbiểuquyết,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > 31/12/2020 > Giá trị ghi sổtheo phương phápvốn chủVND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > 31/12/2020 > Giá trịhợp lýVND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Tỷ lệ %sở hữu_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > 1/1/2020 > Tỷ lệ %quyềnbiểuquyết,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > 1/1/2020 > Giá trị ghi sổtheo phương phápvốn chủVNDĐã điều chỉnh lại,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > 1/1/2020 > Giá trịhợp lýVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Tỷ lệ %sở hữu,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > 31/12/2020 > Tỷ lệ %quyềnbiểuquyết,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > 31/12/2020 > Giá trị ghi sổtheo phương phápvốn chủVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > 31/12/2020 > Giá trịhợp lýVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Tỷ lệ %sở hữu_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > 1/1/2020 > Tỷ lệ %quyềnbiểuquyết,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > 1/1/2020 > Giá trị ghi sổtheo phương phápvốn chủVNDĐã điều chỉnh lại,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > 1/1/2020 > Giá trịhợp lýVND
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,
▪ Tổng Công ty May 10 - CTCP,Công ty liên kết > ▪ Tổng Công ty May 10 - CTCP,▪ Tổng Công ty May 10 - CTCP,"33,82%","33,82%",77.036.979.785,(*),"33,82%","33,82%",70.529.828.761,(*),0.3382,0.3382,77036979785.0,,0.3382,0.3382,70529828761.0,
▪ Tổng Công ty Cổ phần May Việt Tiến,Công ty liên kết > ▪ Tổng Công ty Cổ phần May Việt Tiến,▪ Tổng Công ty Cổ phần May Việt Tiến,"30,40%","30,40%",419.067.927.642,(*),"30,40%","30,40%",411.821.835.137,(*),0.304,0.304,419067927642.0,,0.304,0.304,411821835137.0,
▪ Tổng Công ty Việt Thắng - CTCP,Công ty liên kết > ▪ Tổng Công ty Việt Thắng - CTCP,▪ Tổng Công ty Việt Thắng - CTCP,"46,93%","46,93%",79.953.935.662,(*),"46,93%","46,93%",67.410.144.717,(*),0.4693,0.4693,79953935662.0,,0.4693,0.4693,67410144717.0,
▪ Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Công ty liên kết > ▪ Công ty Cổ phần Đầu tư Vinatex Tân Tạo,▪ Công ty Cổ phần Đầu tư Vinatex Tân Tạo,"21,21%","21,21%",30.719.345.637,(*),"21,21%","21,21%",30.719.345.637,(*),0.2121,0.2121,30719345637.0,,0.2121,0.2121,30719345637.0,
▪ Tổng Công ty May Nhà Bè - CTCP,Công ty liên kết > ▪ Tổng Công ty May Nhà Bè - CTCP,▪ Tổng Công ty May Nhà Bè - CTCP,"27,69%","27,69%",96.697.395.450,(*),"27,69%","27,69%",92.268.039.871,(*),0.27690000000000003,0.27690000000000003,96697395450.0,,0.27690000000000003,0.27690000000000003,92268039871.0,
▪ Tổng Công ty May Đức Giang - CTCP,Công ty liên kết > ▪ Tổng Công ty May Đức Giang - CTCP,▪ Tổng Công ty May Đức Giang - CTCP,"35,21%","35,21%",48.217.029.710,(*),"35,21%","35,21%",48.188.067.965,(*),0.3521,0.3521,48217029710.0,,0.3521,0.3521,48188067965.0,
▪ Tổng Công ty May Hưng Yên - CTCP,Công ty liên kết > ▪ Tổng Công ty May Hưng Yên - CTCP,▪ Tổng Công ty May Hưng Yên - CTCP,"35,01%","35,01%",123.334.289.546,(*),"35,01%","35,01%",120.126.332.662,(*),0.35009999999999997,0.35009999999999997,123334289546.0,,0.35009999999999997,0.35009999999999997,120126332662.0,
▪ Công ty Cổ phần Đệt May Viễn thông Sài Gòn Vina,Công ty liên kết > ▪ Công ty Cổ phần Đệt May Viễn thông Sài Gòn Vina,▪ Công ty Cổ phần Đệt May Viễn thông Sài Gòn Vina,"40,33%","40,33%",85.477.078.065,(*),"40,33%","40,33%",85.622.622.525,(*),0.4033,0.4033,85477078065.0,,0.4033,0.4033,85622622525.0,
▪ Công ty TNHH Coats Phong Phú,Công ty liên kết > ▪ Công ty TNHH Coats Phong Phú,▪ Công ty TNHH Coats Phong Phú,"17,86%","17,86%",590.702.530.006,(*),"17,86%","17,86%",460.082.837.592,(*),0.17859999999999998,0.17859999999999998,590702530006.0,,0.17859999999999998,0.17859999999999998,460082837592.0,
