row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sản khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.527.801.557.496,8.743.843.762.332,308.965.260.391,96.942.217.363,180.569.325.878,12.858.122.123.460,3527801557496.0,8743843762332.0,308965260391.0,96942217363.0,180569325878.0,12858122123460.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.463.359.137,63.208.716.552,11.774.082.226,667.365.466,2.243.238.639,79.356.762.020,1463359137.0,63208716552.0,11774082226.0,667365466.0,2243238639.0,79356762020.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,178.266.789.680,141.595.492.376,20.365.755.478,1.505.233.448,1.764.844.727,343.498.115.709,178266789680.0,141595492376.0,20365755478.0,1505233448.0,1764844727.0,343498115709.0
Nhận lại tài sản cho thuê tài chính(Thuyết minh 9),Nguyên giá > Nhận lại tài sản cho thuê tài chính(Thuyết minh 9),Nhận lại tài sản cho thuê tài chính(Thuyết minh 9),-,89.375.593.290,-,-,-,89.375.593.290,,89375593290.0,,,,89375593290.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(2.102.177.000),-,-,-,-,(2.102.177.000),-2102177000.0,,,,,-2102177000.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(1.454.143.780),(84.193.065.998),(5.267.126.801),(498.567.126),(1.996.163.628),(93.409.067.333),-1454143780.0,-84193065998.0,-5267126801.0,-498567126.0,-1996163628.0,-93409067333.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(17.419.223.705),-,-,-,(17.419.223.705),,-17419223705.0,,,,-17419223705.0
Giảm do thoái vốn đầu tưvào các công ty con,Nguyên giá > Giảm do thoái vốn đầu tưvào các công ty con,Giảm do thoái vốn đầu tưvào các công ty con,(57.227.511.625),(268.467.594.275),(2.106.798.633),(462.256.170),-,(328.264.160.703),-57227511625.0,-268467594275.0,-2106798633.0,-462256170.0,,-328264160703.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.646.747.873.908,8.667.943.680.572,333.731.172.661,98.153.992.981,182.581.245.616,12.929.157.965.738,3646747873908.0,8667943680572.0,333731172661.0,98153992981.0,182581245616.0,12929157965738.0
