row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,,,,
Công ty CP Đầu tư Phát triển Xây dựng Số 1,Các hoạt động khác > Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty con,Chi phí xây dựng,124.699.848.179,155.341.788.128,,,124699848179.0,155341788128.0
Công ty CP Đầu tư Phát triển Xây dựng Số 1,Các hoạt động khác > Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty con,Cổ tức cổ phiếu,2.116.020.000,4.883.130.000,,,2116020000.0,4883130000.0
Công ty CP Đầu tư Phát triển Xây dựng Số 1,Các hoạt động khác > Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty con,Cổ tức bằng tiền,1.058.011.500,-,,,1058011500.0,
Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Các hoạt động khác > Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty con,Chi phí xây dựng,39.662.419.805,123.294.039.155,,,39662419805.0,123294039155.0
Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Các hoạt động khác > Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty con,Cổ tức bằng cổ phiếu,1.803.980.000,3.279.980.000,,,1803980000.0,3279980000.0
Công ty CP Gạch men Anh Em DIC,Các hoạt động khác > Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,Công ty con,Lãi cho vay,3.506.808.218,3.565.550.609,,,3506808218.0,3565550609.0
Công ty CP Gạch men Anh Em DIC,Các hoạt động khác > Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,Công ty con,Thu gốc vay,300.000.000,2.000.000.000,,,300000000.0,2000000000.0
Công ty TNHH Du lịch DIC,Các hoạt động khác > Công ty TNHH Du lịch DIC,Công ty TNHH Du lịch DIC,Công ty con,Chi phí dịch vụ,3.943.138.456,4.135.553.986,,,3943138456.0,4135553986.0
Công ty TNHH Du lịch DIC,Các hoạt động khác > Công ty TNHH Du lịch DIC,Công ty TNHH Du lịch DIC,Công ty con,Bán tài sản,35.925.391,111.474.056,,,35925391.0,111474056.0
Công ty CP Xây dựng DIC Holdings,Các hoạt động khác > Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Công ty liên kết,Nhận chuyển nhượng dự án,263.545.000.000,2.255.611.745,,,263545000000.0,2255611745.0
Công ty CP Xây dựng DIC Holdings,Các hoạt động khác > Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Công ty liên kết,Chi phí xây dựng,-,2.255.611.745,,,,2255611745.0
Công ty CP Xây dựng DIC Holdings,Các hoạt động khác > Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Công ty liên kết,Cổ tức bằng cổ phiếu,-,8.972.060.000,,,,8972060000.0
Công ty CP Bất động sản D.I.C,Các hoạt động khác > Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Công ty liên kết,Chi phí môi giới,19.315.314.209,39.716.061.062,,,19315314209.0,39716061062.0
Công ty CP Bất động sản D.I.C,Các hoạt động khác > Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Công ty liên kết,Chi phí dịch vụ,312.806.482,27.600.000,,,312806482.0,27600000.0
Công ty CP Bất động sản D.I.C,Các hoạt động khác > Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Công ty liên kết,Cổ tức cổ phiếu,4.282.200.000,-,,,4282200000.0,
Công ty CP Đầu tư Phát triển Phương Nam,Các hoạt động khác > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty liên kết,Chi phí tiếp khách,945.949.135,1.472.127.222,,,945949135.0,1472127222.0
Công ty CP Đầu tư Phát triển Phương Nam,Các hoạt động khác > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty liên kết,Chi phí thuê đất,358.780.205,-,,,358780205.0,
Công ty CP Đầu tư Phát triển Phương Nam,Các hoạt động khác > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty liên kết,Lãi cho vay,21.097.622.329,1.025.086.300,,,21097622329.0,1025086300.0
Công ty CP Đầu tư Phát triển Phương Nam,Các hoạt động khác > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty liên kết,Thu gốc vay,1.080.000.000,21.255.156.850,,,1080000000.0,21255156850.0
Công ty CP Đầu tư Phát triển Xây dựng Du lịch Thẻ Thao Vũng Tàu,Các hoạt động khác > Công ty CP Đầu tư Phát triển Xây dựng Du lịch Thẻ Thao Vũng Tàu,Công ty CP Đầu tư Phát triển Xây dựng Du lịch Thẻ Thao Vũng Tàu,Công ty con,Chi phí dịch vụ,-,717.528.000,,,,717528000.0
Công ty CP Đầu tư Phát triển Xây dựng Hội An,Các hoạt động khác > Công ty CP Đầu tư Phát triển Xây dựng Hội An,Công ty CP Đầu tư Phát triển Xây dựng Hội An,Cùng tập đoàn,Cổ tức bằng tiền,9.000.000,1.500.000,,,9000000.0,1500000.0
