row_label_raw,row_label_full,col_0,col_1,31/12/2023VND,01/01/2023VND,numeric__col_1,numeric__31/12/2023VND,numeric__01/01/2023VND
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,196.250.314.664,176.361.162.536,,196250314664.0,176361162536.0
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,196.250.314.664,173.361.162.536,,196250314664.0,173361162536.0
Công ty CP Đầu tư Phát triển,Công ty CP Đầu tư Phát triển,Công ty CP Đầu tư Phát triển,Chi hộ,26.964.235.792,26.964.235.792,,26964235792.0,26964235792.0
Phương Nam,Phương Nam,Phương Nam,Lãi vay phải thu,57.004.592.371,35.906.970.042,,57004592371.0,35906970042.0
Phương Nam,Phương Nam,Phương Nam,Ký quỹ,82.306.078.333,84.748.862.845,,82306078333.0,84748862845.0
Công ty CP Gạch men Anh Em,Công ty CP Gạch men Anh Em,Công ty CP Gạch men Anh Em,Lãi vay phải thu,29.117.902.075,25.611.093.857,,29117902075.0,25611093857.0
Công ty TNHH MTV Đầu Tư Phát,Công ty TNHH MTV Đầu Tư Phát,Công ty TNHH MTV Đầu Tư Phát,Chi hộ,807.506.093,100.000.000,,807506093.0,100000000.0
Triển Đô Thị và Khu Công Nghiệp DIC,Triển Đô Thị và Khu Công Nghiệp DIC,Triển Đô Thị và Khu Công Nghiệp DIC,Triển Đô Thị và Khu Công Nghiệp DIC,Triển Đô Thị và Khu Công Nghiệp DIC,Triển Đô Thị và Khu Công Nghiệp DIC,,,
Công ty CP Xây dựng DIC Holdings,Triển Đô Thị và Khu Công Nghiệp DIC > Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Chi hộ,30.000.000,30.000.000,,30000000.0,30000000.0
Công ty TNHH Đại Phước Thiên An,Triển Đô Thị và Khu Công Nghiệp DIC > Công ty TNHH Đại Phước Thiên An,Công ty TNHH Đại Phước Thiên An,Chi hộ,20.000.000,-,,20000000.0,
Dài hạn,Triển Đô Thị và Khu Công Nghiệp DIC > Dài hạn,Dài hạn,Dài hạn,-,3.000.000.000,,,3000000000.0
Công ty CP Đầu tư Thương mại DIC (i),Triển Đô Thị và Khu Công Nghiệp DIC > Công ty CP Đầu tư Thương mại DIC (i),Công ty CP Đầu tư Thương mại DIC (i),Hợp đồng hợp tác kinh doanh,-,3.000.000.000,,,3000000000.0
