row_label_raw,row_label_full,Ông Nguyễn Thiện Tuân,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Nguyễn Hùng Cường,Ông Nguyễn Hùng Cường,Ông Nguyễn Hùng Cường,Phó Chủ tịch thường trực,,,
Bà Nguyễn Thị Thanh Huyền,Bà Nguyễn Thị Thanh Huyền,Bà Nguyễn Thị Thanh Huyền,Phó Chủ tịch,,,
Ông Nguyễn Quang Tín,Ông Nguyễn Quang Tín,Ông Nguyễn Quang Tín,Thành viên,(Từ ngày 21 tháng 07 năm 2023),,
Ông Đình Hồng Kỳ,Ông Đình Hồng Kỳ,Ông Đình Hồng Kỳ,Thành viên độc lập,(Từ ngày 21 tháng 07 năm 2023),,
Ông Hoàng Văn Tăng,Ông Hoàng Văn Tăng,Ông Hoàng Văn Tăng,Thành viên,(Đến ngày 21 tháng 07 năm 2023),,
Ông Phan Văn Danh,Ông Phan Văn Danh,Ông Phan Văn Danh,Thành viên độc lập,(Đến ngày 21 tháng 07 năm 2023),,
