row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2023,01/01/2023,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023,numeric__01/01/2023
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,8.521.320.330.627,6.761.148.016.530,300.0,,8521320330627.0,6761148016530.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,7.443.954.233.555,3.808.650.042.442,310.0,,7443954233555.0,3808650042442.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,V.13,637.075.225.900,621.525.737.159,311.0,,637075225900.0,621525737159.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,V.14,1.772.063.749.745,1.451.428.205.672,312.0,,1772063749745.0,1451428205672.0
3. Thuế và các khoản phải nộp nhà nước,3. Thuế và các khoản phải nộp nhà nước,3. Thuế và các khoản phải nộp nhà nước,313,V.15,79.768.548.166,81.048.390.461,313.0,,79768548166.0,81048390461.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,16.453.869.653,19.084.186.728,314.0,,16453869653.0,19084186728.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,V.16,290.524.650.885,205.221.602.432,315.0,,290524650885.0,205221602432.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,V.17,3.410.599.636,3.410.599.632,318.0,,3410599636.0,3410599632.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,V.18,2.874.414.684.688,704.643.003.096,319.0,,2874414684688.0,704643003096.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,V.19,1.719.142.391.013,657.938.012.396,320.0,,1719142391013.0,657938012396.0
"9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi",322,,51.100.513.869,64.350.304.866,322.0,,51100513869.0,64350304866.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,1.077.366.097.072,2.952.497.974.088,330.0,,1077366097072.0,2952497974088.0
