row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Sài Gòn Thương Tín – chi nhánh Bà Rịa Vũng Tàu,Số dư tại 31/12/2023 VND > 516.358.199.678,Phân loại thành nợ đến hạn trả VND > 229.492.528.000,Thời hạn vay > Đến ngày 16 tháng 03 năm 2026,"Lãi suất (%/năm) > 11,6% - 14,8%","Tài sản đảm bảo > Toàn bộ tài sản và quyền tài sản phát sinh từ dự án Hạ tầng kỹ thuật Khu đô thị mới Bắc Vũng Tàu (diện tích 19,6ha) tại phường 12, thành phố Vũng Tàu, Quyền sử dụng 9.282 m2 đất ở đô thị và toàn bộ tài sản hình thành trên đất tại Phường Thắng Nhất, TP. Vũng Tàu và Quyền sử dụng 4.082,6 m2 đất thương mại, dịch vụ và công trình xây dựng trên đất là Trung tâm Hội nghị triển lâm Quốc tế thành phố Vũng Tàu, do Công ty Cổ phần Đầu tư Phát triển Phương Nam thế chấp bảo lãnh.","Tài sản đảm bảo > Toàn bộ tài sản và quyền tài sản phát sinh từ dự án Hạ tầng kỹ thuật Khu đô thị mới Bắc Vũng Tàu (diện tích 19,6ha) tại phường 12, thành phố Vũng Tàu, Quyền sử dụng 9.282 m2 đất ở đô thị và toàn bộ tài sản hình thành trên đất tại Phường Thắng Nhất, TP. Vũng Tàu và Quyền sử dụng 4.082,6 m2 đất thương mại, dịch vụ và công trình xây dựng trên đất là Trung tâm Hội nghị triển lâm Quốc tế thành phố Vũng Tàu, do Công ty Cổ phần Đầu tư Phát triển Phương Nam thế chấp bảo lãnh._1","Tài sản đảm bảo > Toàn bộ tài sản và quyền tài sản phát sinh từ dự án Hạ tầng kỹ thuật Khu đô thị mới Bắc Vũng Tàu (diện tích 19,6ha) tại phường 12, thành phố Vũng Tàu, Quyền sử dụng 9.282 m2 đất ở đô thị và toàn bộ tài sản hình thành trên đất tại Phường Thắng Nhất, TP. Vũng Tàu và Quyền sử dụng 4.082,6 m2 đất thương mại, dịch vụ và công trình xây dựng trên đất là Trung tâm Hội nghị triển lâm Quốc tế thành phố Vũng Tàu, do Công ty Cổ phần Đầu tư Phát triển Phương Nam thế chấp bảo lãnh._2",numeric__Số dư tại 31/12/2023 VND > 516.358.199.678,numeric__Phân loại thành nợ đến hạn trả VND > 229.492.528.000,numeric__Thời hạn vay > Đến ngày 16 tháng 03 năm 2026,"numeric__Lãi suất (%/năm) > 11,6% - 14,8%","numeric__Tài sản đảm bảo > Toàn bộ tài sản và quyền tài sản phát sinh từ dự án Hạ tầng kỹ thuật Khu đô thị mới Bắc Vũng Tàu (diện tích 19,6ha) tại phường 12, thành phố Vũng Tàu, Quyền sử dụng 9.282 m2 đất ở đô thị và toàn bộ tài sản hình thành trên đất tại Phường Thắng Nhất, TP. Vũng Tàu và Quyền sử dụng 4.082,6 m2 đất thương mại, dịch vụ và công trình xây dựng trên đất là Trung tâm Hội nghị triển lâm Quốc tế thành phố Vũng Tàu, do Công ty Cổ phần Đầu tư Phát triển Phương Nam thế chấp bảo lãnh.","numeric__Tài sản đảm bảo > Toàn bộ tài sản và quyền tài sản phát sinh từ dự án Hạ tầng kỹ thuật Khu đô thị mới Bắc Vũng Tàu (diện tích 19,6ha) tại phường 12, thành phố Vũng Tàu, Quyền sử dụng 9.282 m2 đất ở đô thị và toàn bộ tài sản hình thành trên đất tại Phường Thắng Nhất, TP. Vũng Tàu và Quyền sử dụng 4.082,6 m2 đất thương mại, dịch vụ và công trình xây dựng trên đất là Trung tâm Hội nghị triển lâm Quốc tế thành phố Vũng Tàu, do Công ty Cổ phần Đầu tư Phát triển Phương Nam thế chấp bảo lãnh._1","numeric__Tài sản đảm bảo > Toàn bộ tài sản và quyền tài sản phát sinh từ dự án Hạ tầng kỹ thuật Khu đô thị mới Bắc Vũng Tàu (diện tích 19,6ha) tại phường 12, thành phố Vũng Tàu, Quyền sử dụng 9.282 m2 đất ở đô thị và toàn bộ tài sản hình thành trên đất tại Phường Thắng Nhất, TP. Vũng Tàu và Quyền sử dụng 4.082,6 m2 đất thương mại, dịch vụ và công trình xây dựng trên đất là Trung tâm Hội nghị triển lâm Quốc tế thành phố Vũng Tàu, do Công ty Cổ phần Đầu tư Phát triển Phương Nam thế chấp bảo lãnh._2"
Cộng,Cộng,Cộng,1.386.129.026.763,693.305.537.071,,,,,,1386129026763.0,693305537071.0,,,,,
19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,,,,,,,
,,,,,,01/01/2023 VND,Tăng VND,Giảm/(phân bổ chi phí phát hành trái phiếu) VND,31/12/2023 VND,,,,,,,
Ngắn hạn - Trái phiếu thương phát hành đến hạn trả Trái phiếu thương phát hành năm 2021 (i),19.3. Chi tiết trái phiếu và chi phí phát hành như sau: > Ngắn hạn - Trái phiếu thương phát hành đến hạn trả Trái phiếu thương phát hành năm 2021 (i),Ngắn hạn - Trái phiếu thương phát hành đến hạn trả Trái phiếu thương phát hành năm 2021 (i),Ngắn hạn - Trái phiếu thương phát hành đến hạn trả Trái phiếu thương phát hành năm 2021 (i),Ngắn hạn - Trái phiếu thương phát hành đến hạn trả Trái phiếu thương phát hành năm 2021 (i),Ngắn hạn - Trái phiếu thương phát hành đến hạn trả Trái phiếu thương phát hành năm 2021 (i),-,891.577.418.629,-,891.577.418.629,,,,,891577418629.0,,891577418629.0
Giá gốc trái phiếu,19.3. Chi tiết trái phiếu và chi phí phát hành như sau: > Giá gốc trái phiếu,Giá gốc trái phiếu,Giá gốc trái phiếu,Giá gốc trái phiếu,Giá gốc trái phiếu,-,900.000.000.000,-,900.000.000.000,,,,,900000000000.0,,900000000000.0
Chi phí phát hành trái phiếu,19.3. Chi tiết trái phiếu và chi phí phát hành như sau: > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,-,(8.422.581.371),-,(8.422.581.371),,,,,-8422581371.0,,-8422581371.0
Dài hạn,19.3. Chi tiết trái phiếu và chi phí phát hành như sau: > Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,1.861.837.138.785,250.499.800.000,(1.861.837.138.785),250.499.800.000,,,,1861837138785.0,250499800000.0,-1861837138785.0,250499800000.0
Trái phiếu thương phát hành năm 2021 (i),Trái phiếu thương phát hành năm 2021 (i),Trái phiếu thương phát hành năm 2021 (i),Trái phiếu thương phát hành năm 2021 (i),Trái phiếu thương phát hành năm 2021 (i),Trái phiếu thương phát hành năm 2021 (i),,,,,,,,,,,
Giá gốc trái phiếu,Trái phiếu thương phát hành năm 2021 (i) > Giá gốc trái phiếu,Giá gốc trái phiếu,Giá gốc trái phiếu,Giá gốc trái phiếu,Giá gốc trái phiếu,1.900.000.000.000,-,(1.900.000.000.000),-,,,,1900000000000.0,,-1900000000000.0,
Chi phí phát hành trái phiếu,Trái phiếu thương phát hành năm 2021 (i) > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(38.162.861.215),-,38.162.861.215,-,,,,-38162861215.0,,38162861215.0,
Trái phiếu thương phát hành năm 2023 (ii),Trái phiếu thương phát hành năm 2023 (ii),Trái phiếu thương phát hành năm 2023 (ii),Trái phiếu thương phát hành năm 2023 (ii),Trái phiếu thương phát hành năm 2023 (ii),Trái phiếu thương phát hành năm 2023 (ii),,,,,,,,,,,
Giá gốc trái phiếu,Trái phiếu thương phát hành năm 2023 (ii) > Giá gốc trái phiếu,Giá gốc trái phiếu,Giá gốc trái phiếu,Giá gốc trái phiếu,Giá gốc trái phiếu,-,300.000.000.000,-,300.000.000.000,,,,,300000000000.0,,300000000000.0
Chi phí phát hành trái phiếu,Trái phiếu thương phát hành năm 2023 (ii) > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,-,(49.500.200.000),-,(49.500.200.000),,,,,-49500200000.0,,-49500200000.0
Cộng,Trái phiếu thương phát hành năm 2023 (ii) > Cộng,Cộng,Cộng,Cộng,Cộng,1.861.837.138.785,1.142.077.218.629,(1.861.837.138.785),1.142.077.218.629,,,,1861837138785.0,1142077218629.0,-1861837138785.0,1142077218629.0
