row_label_raw,row_label_full,Sáp nhập Công ty TNHH Đầu tư Phát triển Xây dựng Hà Nam,Năm nayVND > Sáp nhập Công ty TNHH Đầu tư Phát triển Xây dựng Hà Nam,Năm trướcVND > Sáp nhập Công ty TNHH Đầu tư Phát triển Xây dựng Hà Nam,numeric__Năm nayVND > Sáp nhập Công ty TNHH Đầu tư Phát triển Xây dựng Hà Nam,numeric__Năm trướcVND > Sáp nhập Công ty TNHH Đầu tư Phát triển Xây dựng Hà Nam
Giảm vốn đầu tư vào công ty con,Giảm vốn đầu tư vào công ty con,Giảm vốn đầu tư vào công ty con,77.391.698.291,-,77391698291.0,
Tăng nợ phải thu,Tăng nợ phải thu,Tăng nợ phải thu,29.647.967.487,-,29647967487.0,
Tăng chi phí sản xuất kinh doanh dở dang,Tăng chi phí sản xuất kinh doanh dở dang,Tăng chi phí sản xuất kinh doanh dở dang,40.058.147.774,-,40058147774.0,
Tăng thuế GTGT được khấu trừ,Tăng thuế GTGT được khấu trừ,Tăng thuế GTGT được khấu trừ,1.306.516.999,-,1306516999.0,
Tăng tài sản cố định và hao mòn lũy kế,Tăng tài sản cố định và hao mòn lũy kế,Tăng tài sản cố định và hao mòn lũy kế,53.000.000,-,53000000.0,
Tăng nợ phải trả,Tăng nợ phải trả,Tăng nợ phải trả,344.835.155,-,344835155.0,
Giải thể Công ty CP Thủy Cung DIG,Giải thể Công ty CP Thủy Cung DIG,Giải thể Công ty CP Thủy Cung DIG,Giải thể Công ty CP Thủy Cung DIG,Giải thể Công ty CP Thủy Cung DIG,,
Giảm vốn đầu tư vào công ty con,Giải thể Công ty CP Thủy Cung DIG > Giảm vốn đầu tư vào công ty con,Giảm vốn đầu tư vào công ty con,147.250.000.000,-,147250000000.0,
Giảm nợ phải trả,Giải thể Công ty CP Thủy Cung DIG > Giảm nợ phải trả,Giảm nợ phải trả,147.250.000.000,-,147250000000.0,
Sáp nhập Công ty CP Đầu tư Phát triển Thương mại DIC vào Công ty CP Đầu tư Phát triển Tầm Nhìn DIC,Sáp nhập Công ty CP Đầu tư Phát triển Thương mại DIC vào Công ty CP Đầu tư Phát triển Tầm Nhìn DIC,Sáp nhập Công ty CP Đầu tư Phát triển Thương mại DIC vào Công ty CP Đầu tư Phát triển Tầm Nhìn DIC,Sáp nhập Công ty CP Đầu tư Phát triển Thương mại DIC vào Công ty CP Đầu tư Phát triển Tầm Nhìn DIC,Sáp nhập Công ty CP Đầu tư Phát triển Thương mại DIC vào Công ty CP Đầu tư Phát triển Tầm Nhìn DIC,,
Tăng vốn góp vào công ty con,Sáp nhập Công ty CP Đầu tư Phát triển Thương mại DIC vào Công ty CP Đầu tư Phát triển Tầm Nhìn DIC > Tăng vốn góp vào công ty con,Tăng vốn góp vào công ty con,29.600.000.000,-,29600000000.0,
Giảm vốn góp vào công ty con,Sáp nhập Công ty CP Đầu tư Phát triển Thương mại DIC vào Công ty CP Đầu tư Phát triển Tầm Nhìn DIC > Giảm vốn góp vào công ty con,Giảm vốn góp vào công ty con,29.600.000.000,-,29600000000.0,
Tăng tài sản cố định từ bất động sản dở dang,Sáp nhập Công ty CP Đầu tư Phát triển Thương mại DIC vào Công ty CP Đầu tư Phát triển Tầm Nhìn DIC > Tăng tài sản cố định từ bất động sản dở dang,Tăng tài sản cố định từ bất động sản dở dang,113.028.477.359,-,113028477359.0,
Tăng vốn bằng trả cố tức bằng cổ phiếu,Sáp nhập Công ty CP Đầu tư Phát triển Thương mại DIC vào Công ty CP Đầu tư Phát triển Tầm Nhìn DIC > Tăng vốn bằng trả cố tức bằng cổ phiếu,Tăng vốn bằng trả cố tức bằng cổ phiếu,-,849.728.490.000,,849728490000.0
Phát hành cổ phiếu bằng thặng dư vốn cổ phần và quỹ đầu tư phát triển,Sáp nhập Công ty CP Đầu tư Phát triển Thương mại DIC vào Công ty CP Đầu tư Phát triển Tầm Nhìn DIC > Phát hành cổ phiếu bằng thặng dư vốn cổ phần và quỹ đầu tư phát triển,Phát hành cổ phiếu bằng thặng dư vốn cổ phần và quỹ đầu tư phát triển,-,249.881.840.000,,249881840000.0
Nhận chuyển nhượng khoản đầu tư một phần bằng bù trừ công nợ,Sáp nhập Công ty CP Đầu tư Phát triển Thương mại DIC vào Công ty CP Đầu tư Phát triển Tầm Nhìn DIC > Nhận chuyển nhượng khoản đầu tư một phần bằng bù trừ công nợ,Nhận chuyển nhượng khoản đầu tư một phần bằng bù trừ công nợ,-,8.175.233.564,,8175233564.0
