row_label_raw,row_label_full,STT,Tên Công ty,Địa chỉ,Ngành nghề kinh doanh chính,Tỷ lệ biểu quyết (%),Tỷ lệ lợi ích (%),numeric__Tên Công ty,numeric__Địa chỉ,numeric__Ngành nghề kinh doanh chính,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ lợi ích (%)
1.,1.,1.,Công ty TNHH Du lịch DIC,"Số 169 Thủy Vân, Phường 8, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",Kinh doanh dịch vụ và thương mại,"78,30","78,30",,,,78.3,78.3
2.,2.,2.,Công ty CP Gạch men Anh Em DIC,"KCN Bắc Chu Lai, Xã Tam Hiệp, Huyện Núi Thành, Tỉnh Quảng Nam","Sản xuất sản phẩm gồm sứ, bán buồn vật liệu, khai thác khoáng sản","89,03","89,03",,,,89.03,89.03
3.,3.,3.,Công ty CP Đầu tư Phát triển Xây dựng Số 1,"Số 265, Đường Lê Hồng Phong, Phường 8, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu","Đầu tư kinh doanh phát triển các khu đô thị và khu công nghiệp, đầu tư kinh doanh phát triển nhà và hạ tầng kỹ thuật đô thị","51,68","51,68",,,,51.68,51.68
4.,4.,4.,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,"Số 5, đường số 6, Khu đô thị Chí Linh, Phường Thắng Nhất, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu","Sản xuất và kinh doanh vật liệu xây dựng, xây; kinh doanh bất động sản","50,14","50,14",,,,50.14,50.14
