row_label_raw,row_label_full,col_0,col_1,01/01/2023VND,TăngVND,GiảmVND,31/12/2023VND,numeric__col_1,numeric__01/01/2023VND,numeric__TăngVND,numeric__GiảmVND,numeric__31/12/2023VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,657.938.012.396,1.886.611.038.615,825.406.659.998,1.719.142.391.013,,657938012396.0,1886611038615.0,825406659998.0,1719142391013.0
Vay ngân hàng và cá nhân (Thuyết minh 19.1),Vay ngân hàng và cá nhân (Thuyết minh 19.1),Vay ngân hàng và cá nhân (Thuyết minh 19.1),Vay ngân hàng và cá nhân (Thuyết minh 19.1),316.239.608.358,154.139.621.935,336.119.794.980,134.259.435.313,,316239608358.0,154139621935.0,336119794980.0,134259435313.0
Vay dài hạn đến hạn trả (Thuyết minh 19.2),Vay dài hạn đến hạn trả (Thuyết minh 19.2),Vay dài hạn đến hạn trả (Thuyết minh 19.2),Vay dài hạn đến hạn trả (Thuyết minh 19.2),341.698.404.038,840.893.998.051,489.286.865.018,693.305.537.071,,341698404038.0,840893998051.0,489286865018.0,693305537071.0
Trái phiếu thường phát hành đến hạn trả (Thuyết minh 19.3),Trái phiếu thường phát hành đến hạn trả (Thuyết minh 19.3),Trái phiếu thường phát hành đến hạn trả (Thuyết minh 19.3),Trái phiếu thường phát hành đến hạn trả (Thuyết minh 19.3),-,891.577.418.629,-,891.577.418.629,,,891577418629.0,,891577418629.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,2.815.080.930.716,1.185.010.391.865,3.056.768.032.889,943.323.289.692,,2815080930716.0,1185010391865.0,3056768032889.0,943323289692.0
Vay ngân hàng (Thuyết minh 19.2),Vay ngân hàng (Thuyết minh 19.2),Vay ngân hàng (Thuyết minh 19.2),Vay ngân hàng (Thuyết minh 19.2),953.243.791.931,934.510.591.865,1.194.930.894.104,692.823.489.692,,953243791931.0,934510591865.0,1194930894104.0,692823489692.0
Trái phiếu thường phát hành (Thuyết minh 19.3),Trái phiếu thường phát hành (Thuyết minh 19.3),Trái phiếu thường phát hành (Thuyết minh 19.3),Trái phiếu thường phát hành (Thuyết minh 19.3),1.861.837.138.785,250.499.800.000,1.861.837.138.785,250.499.800.000,,1861837138785.0,250499800000.0,1861837138785.0,250499800000.0
Cộng,Cộng,Cộng,Cộng,3.473.018.943.112,3.071.621.430.480,3.882.174.692.887,2.662.465.680.705,,3473018943112.0,3071621430480.0,3882174692887.0,2662465680705.0
19.1. Chi tiết số dư các khoản vay ngắn hạn như sau:,19.1. Chi tiết số dư các khoản vay ngắn hạn như sau:,19.1. Chi tiết số dư các khoản vay ngắn hạn như sau:,19.1. Chi tiết số dư các khoản vay ngắn hạn như sau:,19.1. Chi tiết số dư các khoản vay ngắn hạn như sau:,19.1. Chi tiết số dư các khoản vay ngắn hạn như sau:,19.1. Chi tiết số dư các khoản vay ngắn hạn như sau:,19.1. Chi tiết số dư các khoản vay ngắn hạn như sau:,,,,,
Đối tượng,Đối tượng,Đối tượng,Số dư tại 31/12/2023 VND,Lãi suất (%/năm),Tài sản đảm bảo,Tài sản đảm bảo,Tài sản đảm bảo,,,,,
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - chi nhánh Đồng Nai,Đối tượng > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - chi nhánh Đồng Nai,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - chi nhánh Đồng Nai,100.000.000.000,9%,"- 12.996,8 m2 đất ở theo GCNQSDĐ và quyền sở hữu nhà ở và tái sản khác gắn liền với đất số BN981924 do UBND tỉnh Bà Rịa - Vũng Tàu cấp ngày 20/5/2014 với tổng giá trị tài sản thế chấp là 296.327.000.000 đồng.","- 12.996,8 m2 đất ở theo GCNQSDĐ và quyền sở hữu nhà ở và tái sản khác gắn liền với đất số BN981924 do UBND tỉnh Bà Rịa - Vũng Tàu cấp ngày 20/5/2014 với tổng giá trị tài sản thế chấp là 296.327.000.000 đồng.","- 12.996,8 m2 đất ở theo GCNQSDĐ và quyền sở hữu nhà ở và tái sản khác gắn liền với đất số BN981924 do UBND tỉnh Bà Rịa - Vũng Tàu cấp ngày 20/5/2014 với tổng giá trị tài sản thế chấp là 296.327.000.000 đồng.",100000000000.0,0.09,,,
