row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc,Máy móc thiết bị,Phương tiện vận tải,Thiết bị quản lý,Tài sản cố định khác,Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa vật kiến trúc,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị quản lý,numeric__Tài sản cố định khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,26.061.102.768,6.189.939.613,48.162.650.227,4.739.093.991,393.620.455,85.546.407.054,26061102768.0,6189939613.0,48162650227.0,4739093991.0,393620455.0,85546407054.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,-,119.414.545,-,119.414.545,,,,119414545.0,,119414545.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,95.291.866.416,4.951.481.600,-,12.281.409.343,710.000.000,113.234.757.359,95291866416.0,4951481600.0,,12281409343.0,710000000.0,113234757359.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,-,-,53.000.000,-,53.000.000,,,,53000000.0,,53000000.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(9.815.733.684),(173.000.000),-,(9.988.733.684),,,-9815733684.0,-173000000.0,,-9988733684.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,121.352.969.184,11.141.421.213,38.346.916.543,17.019.917.879,1.103.620.455,188.964.845.274,121352969184.0,11141421213.0,38346916543.0,17019917879.0,1103620455.0,188964845274.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,12.322.826.389,4.715.065.072,22.882.544.076,3.899.148.141,310.509.343,44.130.093.021,12322826389.0,4715065072.0,22882544076.0,3899148141.0,310509343.0,44130093021.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,2.259.011.562,672.713.874,3.709.106.117,1.351.210.197,72.797.610,8.064.839.360,2259011562.0,672713874.0,3709106117.0,1351210197.0,72797610.0,8064839360.0
Tăng khác,Giá trị hao mòn luỹ kế > Tăng khác,Tăng khác,-,-,-,53.000.000,-,53.000.000,,,,53000000.0,,53000000.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(8.389.594.501),(140.678.776),-,(8.530.273.277),,,-8389594501.0,-140678776.0,,-8530273277.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,14.581.837.951,5.387.778.946,18.202.055.692,5.162.679.562,383.306.953,43.717.659.104,14581837951.0,5387778946.0,18202055692.0,5162679562.0,383306953.0,43717659104.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,13.738.276.379,1.474.874.541,25.280.106.151,839.945.850,83.111.112,41.416.314.033,13738276379.0,1474874541.0,25280106151.0,839945850.0,83111112.0,41416314033.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,106.771.131.233,5.753.642.267,20.144.860.851,11.857.238.317,720.313.502,145.247.186.170,106771131233.0,5753642267.0,20144860851.0,11857238317.0,720313502.0,145247186170.0
