row_label_raw,row_label_full,Chỉ tiêu > Lưu chuyển tiền thuần trong năm > Tiền và tương đương tiền đầu năm,Mã số > 50 > 60,Năm nay > 1.972.971.061.161 > 226.795.681.595,Năm trước > (749.701.259.408) > 976.496.694.483,numeric__Mã số > 50 > 60,numeric__Năm nay > 1.972.971.061.161 > 226.795.681.595,numeric__Năm trước > (749.701.259.408) > 976.496.694.483
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,132.266,246.520,61.0,132266.0,246520.0
Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,2.199.766.875.022,226.795.681.595,70.0,2199766875022.0,226795681595.0
