row_label_raw,row_label_full,col_0,Kinh doanh ô tô,"Đầu tư, kinh doanh BDS",Dịch vụ thu phí đường bộ theo hình thức BOT,Dịch vụ thu phí theo hình thức điện tử không dùng,Hoạt động khác,Tổng,numeric__Kinh doanh ô tô,"numeric__Đầu tư, kinh doanh BDS",numeric__Dịch vụ thu phí đường bộ theo hình thức BOT,numeric__Dịch vụ thu phí theo hình thức điện tử không dùng,numeric__Hoạt động khác,numeric__Tổng
DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,,,,,,
Tổng doanh thu,DOANH THU > Tổng doanh thu,Tổng doanh thu,8.826.195.451.658,176.885.503.042,600.671.134.090,470.614.541.704,920.876.191.304,10.995.242.821.798,8826195451658.0,176885503042.0,600671134090.0,470614541704.0,920876191304.0,10995242821798.0
Giảm trừ doanh thu,DOANH THU > Giảm trừ doanh thu,Giảm trừ doanh thu,9.490.200.573,-,-,-,4.002.399.261,13.492.599.834,9490200573.0,,,,4002399261.0,13492599834.0
Doanh thu thuần,DOANH THU > Doanh thu thuần,Doanh thu thuần,8.816.705.251.085,176.885.503.042,600.671.134.090,470.614.541.704,916.873.792.043,10.981.750.221.964,8816705251085.0,176885503042.0,600671134090.0,470614541704.0,916873792043.0,10981750221964.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","DOANH THU > Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",7.531.863.432,(27.745.750.464),1.585.699.029,-,-,(18.628.188.003),7531863432.0,-27745750464.0,1585699029.0,,,-18628188003.0
KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,,,,,,
Kết quả bộ phận,KẾT QUẢ HOẠT ĐỘNG > Kết quả bộ phận,Kết quả bộ phận,(165.545.311.764),33.802.760.740,82.025.981.855,(88.263.925.413),193.826.404.770,55.845.910.188,-165545311764.0,33802760740.0,82025981855.0,-88263925413.0,193826404770.0,55845910188.0
Thuế thu nhập doanh nghiệp,KẾT QUẢ HOẠT ĐỘNG > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(10.529.687.228),-,9.226.427.545,-,800.505.308,(502.754.375),-10529687228.0,,9226427545.0,,800505308.0,-502754375.0
Lợi nhuận trong năm,KẾT QUẢ HOẠT ĐỘNG > Lợi nhuận trong năm,Lợi nhuận trong năm,(155.015.624.536),33.802.760.740,72.799.554.310,(88.263.925.413),193.025.899.462,56.348.664.563,-155015624536.0,33802760740.0,72799554310.0,-88263925413.0,193025899462.0,56348664563.0
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,1.553.176.980.160,1.371.659.737.602,4.457.674.841.120,1.097.187.554.695,3.379.711.632,8.483.078.825.209,1553176980160.0,1371659737602.0,4457674841120.0,1097187554695.0,3379711632.0,8483078825209.0
Tài sản cố định không thể phân bổ,TÀI SẢN > Tài sản cố định không thể phân bổ,Tài sản cố định không thể phân bổ,,,,,,36.919.972.195,,,,,,36919972195.0
Tài sản dở dang dài hạn,TÀI SẢN > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,96.573.804.920,2.117.669.126.475,4.947.773.976,73.738.061,200.242.151.568,2.419.506.595.000,96573804920.0,2117669126475.0,4947773976.0,73738061.0,200242151568.0,2419506595000.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,1.398.652.151.412,794.398.741.417,9.230.479.758,434.220.159.205,3.618.953.984.858,6.255.455.516.650,1398652151412.0,794398741417.0,9230479758.0,434220159205.0,3618953984858.0,6255455516650.0
