row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,12.304.365.044.699,10.300.054.191.510,,100.0,,12304365044699.0,10300054191510.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,2.876.158.716.774,1.701.723.734.047,,110.0,,2876158716774.0,1701723734047.0
1.,1.,1.,Tiền,111,,2.287.981.707.808,1.581.227.686.418,,111.0,,2287981707808.0,1581227686418.0
2.,2.,2.,Các khoản tương đương tiền,112,,588.177.008.966,120.496.047.629,,112.0,,588177008966.0,120496047629.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,567.615.627.606,358.488.446.834,,120.0,,567615627606.0,358488446834.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.2.1,28.274.992.543,28.274.992.543,,121.0,,28274992543.0,28274992543.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,V.2.1,(17.170.413.738),(15.756.098.581),,122.0,,-17170413738.0,-15756098581.0
3.,3.,3.,Đầu tư nắm giữ đến ngày đáo hạn,123,V.2.2.1,556.511.048.801,345.969.552.872,,123.0,,556511048801.0,345969552872.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,5.493.836.857.775,5.575.074.417.400,,130.0,,5493836857775.0,5575074417400.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3.1,1.618.813.796.668,1.401.535.413.697,,131.0,,1618813796668.0,1401535413697.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.4.1,759.717.289.768,449.925.147.884,,132.0,,759717289768.0,449925147884.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,V.5.1,29.799.000.000,541.405.000.000,,135.0,,29799000000.0,541405000000.0
4.,4.,4.,Phải thu ngắn hạn khác,136,V.6.1,3.241.928.490.359,3.335.951.279.101,,136.0,,3241928490359.0,3335951279101.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,V.7,(156.421.719.020),(153.742.423.282),,137.0,,-156421719020.0,-153742423282.0
IV.,IV.,IV.,Hàng tồn kho,140,V.8,3.177.372.538.020,2.487.164.779.827,,140.0,,3177372538020.0,2487164779827.0
1.,1.,1.,Hàng tồn kho,141,,3.180.337.280.522,2.489.622.210.452,,141.0,,3180337280522.0,2489622210452.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(2.964.742.502),(2.457.430.625),,149.0,,-2964742502.0,-2457430625.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,189.381.304.524,177.602.813.402,,150.0,,189381304524.0,177602813402.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.9.1,48.589.052.714,45.892.695.089,,151.0,,48589052714.0,45892695089.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,89.638.042.831,120.154.954.456,,152.0,,89638042831.0,120154954456.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.18.2,51.154.208.979,11.555.163.857,,153.0,,51154208979.0,11555163857.0
