row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải truyền dẫn,"Thiết bị,dụng cụ quản lý",TSCDhữu hình khác,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải truyền dẫn,"numeric__Thiết bị,dụng cụ quản lý",numeric__TSCDhữu hình khác,numeric__Cộng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,1.060.002.667.015,328.024.163.983,256.337.346.703,33.357.354.429,7.511.083.149.419,9.188.804.681.549,1060002667015.0,328024163983.0,256337346703.0,33357354429.0,7511083149419.0,9188804681549.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,23.157.768.229,20.149.205.798,183.520.953.600,6.630.288.478,7.271.003.754,240.729.219.859,23157768229.0,20149205798.0,183520953600.0,6630288478.0,7271003754.0,240729219859.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,76.377.781.816,-,-,-,4.158.624.996,80.536.406.812,76377781816.0,,,,4158624996.0,80536406812.0
Tăng do hợp nhất kinh doanh,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,125.121.880.088,65.611.463.769,54.336.477.787,344.981.525,7.648.012.818,253.062.815.987,125121880088.0,65611463769.0,54336477787.0,344981525.0,7648012818.0,253062815987.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,-,34.234.539,-,-,140.276.757,174.511.296,,34234539.0,,,140276757.0,174511296.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(893.014.930),(5.487.912.714),(107.536.465.546),(1.195.851.097),(860.998.346),(115.974.242.633),-893014930.0,-5487912714.0,-107536465546.0,-1195851097.0,-860998346.0,-115974242633.0
Chuyển sang Bắt động sản đầu tư,NGUYÊN GIÁ > Chuyển sang Bắt động sản đầu tư,Chuyển sang Bắt động sản đầu tư,(107.843.755),(2.184.243.800),-,-,(254.000.000),(2.546.087.555),-107843755.0,-2184243800.0,,,-254000000.0,-2546087555.0
Giảm do thoái vốn tại Công ty con,NGUYÊN GIÁ > Giảm do thoái vốn tại Công ty con,Giảm do thoái vốn tại Công ty con,(349.948.247),(301.163.893),-,-,-,(651.112.140),-349948247.0,-301163893.0,,,,-651112140.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,(102.127.712),-,(21.109.476.107),-,(3.149.422.940),(24.361.026.759),-102127712.0,,-21109476107.0,,-3149422940.0,-24361026759.0
