row_label_raw,row_label_full,col_0,Công ty cổ phần TascoAuto (*),Công ty TNHH Bảohiểm Tasco,Cộng,numeric__Công ty cổ phần TascoAuto (*),numeric__Công ty TNHH Bảohiểm Tasco,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.882.006.261.541,99.678.880.326,2.981.685.141.867,2882006261541.0,99678880326.0,2981685141867.0
Tăng trong năm (i),Nguyên giá > Tăng trong năm (i),Tăng trong năm (i),32.530.262.125,-,32.530.262.125,32530262125.0,,32530262125.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,2.914.536.523.666,99.678.880.326,3.014.215.403.992,2914536523666.0,99678880326.0,3014215403992.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,554.491.930.629,12.459.860.041,566.951.790.670,554491930629.0,12459860041.0,566951790670.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,288.762.442.622,9.967.888.033,298.730.330.655,288762442622.0,9967888033.0,298730330655.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,843.254.373.251,22.427.748.074,865.682.121.325,843254373251.0,22427748074.0,865682121325.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.327.514.330.912,87.219.020.285,2.414.733.351.197,2327514330912.0,87219020285.0,2414733351197.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.071.282.150.415,77.251.132.252,2.148.533.282.667,2071282150415.0,77251132252.0,2148533282667.0
