row_label_raw,row_label_full,Nội dung,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
USD,USD,USD,"2.966,40","159,13",2966.4,159.13
SGD,SGD,SGD,-,"4.456,28",,4456.28
SEK,SEK,SEK,866.615,-,866615.0,
