row_label_raw,row_label_full,"23.4 Thông tin chỉ tiết về trái phiếu phát hành Đơn vị tư vấn và bảo lãnh phát hành > Công ty cổ phần Chứng khoán VNDirect > 23.5 Thông tin chỉ tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: Khoản mục đảm bảo vay ngắn hạn, dài hạn","Số cuối năm > 477.565.114.155 > 23.5 Thông tin chỉ tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: Khoản mục đảm bảo vay ngắn hạn, dài hạn","Kỳ hạn trả gốc, lãi > Kỳ hạn: 3 năm. Tiền gốc và lãi trái phiếu và tiền lãi được trả một lần vào cuối kỳ hạn trái phiếu > 23.5 Thông tin chỉ tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: Khoản mục đảm bảo vay ngắn hạn, dài hạn","Lãi suất > Lãi suất năm đầu cố định 10,5%/năm; các năm tiếp theo lãi suất thả nổi biên độ dao động 4% nhưng không thấp hơn 10,5%/năm > 23.5 Thông tin chỉ tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: Khoản mục đảm bảo vay ngắn hạn, dài hạn","Mục đích phát hành > Tái cơ cấu nợ > 23.5 Thông tin chỉ tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: Khoản mục đảm bảo vay ngắn hạn, dài hạn > Số cuối năm","Tài sản đảm bảo > Một phần cổ phần phổ thông của Công ty con được nắm giữ bởi Công ty > 23.5 Thông tin chỉ tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: Khoản mục đảm bảo vay ngắn hạn, dài hạn > Số đầu năm","Bảo lãnh thanh toán > Trái phiếu được cam kết bảo lãnh thanh toán bởi một Công ty con của Công ty. > 23.5 Thông tin chỉ tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: Khoản mục đảm bảo vay ngắn hạn, dài hạn > Số đầu năm","numeric__Số cuối năm > 477.565.114.155 > 23.5 Thông tin chỉ tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: Khoản mục đảm bảo vay ngắn hạn, dài hạn","numeric__Kỳ hạn trả gốc, lãi > Kỳ hạn: 3 năm. Tiền gốc và lãi trái phiếu và tiền lãi được trả một lần vào cuối kỳ hạn trái phiếu > 23.5 Thông tin chỉ tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: Khoản mục đảm bảo vay ngắn hạn, dài hạn","numeric__Lãi suất > Lãi suất năm đầu cố định 10,5%/năm; các năm tiếp theo lãi suất thả nổi biên độ dao động 4% nhưng không thấp hơn 10,5%/năm > 23.5 Thông tin chỉ tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: Khoản mục đảm bảo vay ngắn hạn, dài hạn","numeric__Mục đích phát hành > Tái cơ cấu nợ > 23.5 Thông tin chỉ tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: Khoản mục đảm bảo vay ngắn hạn, dài hạn > Số cuối năm","numeric__Tài sản đảm bảo > Một phần cổ phần phổ thông của Công ty con được nắm giữ bởi Công ty > 23.5 Thông tin chỉ tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: Khoản mục đảm bảo vay ngắn hạn, dài hạn > Số đầu năm","numeric__Bảo lãnh thanh toán > Trái phiếu được cam kết bảo lãnh thanh toán bởi một Công ty con của Công ty. > 23.5 Thông tin chỉ tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: Khoản mục đảm bảo vay ngắn hạn, dài hạn > Số đầu năm"
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,180.201.820.419,22.885.000.000,22.885.000.000,,,,180201820419.0,22885000000.0,22885000000.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,297.361.264.820,279.323.546.468,279.323.546.468,,,,297361264820.0,279323546468.0,279323546468.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,1.474.812.553.190,1.088.545.082.212,1.088.545.082.212,,,,1474812553190.0,1088545082212.0,1088545082212.0
"Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược",40.819.995.927,41.818.810.343,41.818.810.343,,,,40819995927.0,41818810343.0,41818810343.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,5.495.729.840.310,5.830.568.062.453,5.830.568.062.453,,,,5495729840310.0,5830568062453.0,5830568062453.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,783.574.302.283,715.649.242.550,715.649.242.550,,,,783574302283.0,715649242550.0,715649242550.0
Tiền thuê đất trả trước,Tiền thuê đất trả trước,Tiền thuê đất trả trước,Tiền thuê đất trả trước,Tiền thuê đất trả trước,Tiền thuê đất trả trước,58.196.208.000,-,-,,,,58196208000.0,,
Chỉ phí xây dựng cơ bản dở dang,Chỉ phí xây dựng cơ bản dở dang,Chỉ phí xây dựng cơ bản dở dang,Chỉ phí xây dựng cơ bản dở dang,Chỉ phí xây dựng cơ bản dở dang,Chỉ phí xây dựng cơ bản dở dang,-,66.351.352.555,66.351.352.555,,,,,66351352555.0,66351352555.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,1.064.661.424.385,1.088.573.599.468,1.088.573.599.468,,,,1064661424385.0,1088573599468.0,1088573599468.0
Đầu tư nắm giữ đến ngày đáo hạn - Ngân hạn,Đầu tư nắm giữ đến ngày đáo hạn - Ngân hạn,Đầu tư nắm giữ đến ngày đáo hạn - Ngân hạn,Đầu tư nắm giữ đến ngày đáo hạn - Ngân hạn,Đầu tư nắm giữ đến ngày đáo hạn - Ngân hạn,Đầu tư nắm giữ đến ngày đáo hạn - Ngân hạn,248.277.785.971,88.124.799.083,88.124.799.083,,,,248277785971.0,88124799083.0,88124799083.0
Đầu tư nắm giữ đến ngày đáo hạn - Dải hạn,Đầu tư nắm giữ đến ngày đáo hạn - Dải hạn,Đầu tư nắm giữ đến ngày đáo hạn - Dải hạn,Đầu tư nắm giữ đến ngày đáo hạn - Dải hạn,Đầu tư nắm giữ đến ngày đáo hạn - Dải hạn,Đầu tư nắm giữ đến ngày đáo hạn - Dải hạn,-,3.000.000.000,3.000.000.000,,,,,3000000000.0,3000000000.0
Khoản đầu tư vào Công ty con trong tập đoàn,Khoản đầu tư vào Công ty con trong tập đoàn,Khoản đầu tư vào Công ty con trong tập đoàn,Khoản đầu tư vào Công ty con trong tập đoàn,Khoản đầu tư vào Công ty con trong tập đoàn,Khoản đầu tư vào Công ty con trong tập đoàn,6.444.257.020.000,499.900.000.000,499.900.000.000,,,,6444257020000.0,499900000000.0,499900000000.0
