row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*),Phần mềm máy tính,Cộng,numeric__Quyền sử dụng đất (*),numeric__Phần mềm máy tính,numeric__Cộng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,609.842.023.846,252.461.222.072,862.303.245.918,609842023846.0,252461222072.0,862303245918.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,10.786.476.423,10.786.476.423,,10786476423.0,10786476423.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,11.549.448.863,11.549.448.863,,11549448863.0,11549448863.0
Tăng do hợp nhất kinh doanh,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,91.738.638.454,6.949.581.697,98.688.220.151,91738638454.0,6949581697.0,98688220151.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,-,182.565.617,182.565.617,,182565617.0,182565617.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,701.580.662.300,281.929.294.672,983.509.956.972,701580662300.0,281929294672.0,983509956972.0
HAO MÔN LUỸ KẾ,HAO MÔN LUỸ KẾ,HAO MÔN LUỸ KẾ,HAO MÔN LUỸ KẾ,HAO MÔN LUỸ KẾ,HAO MÔN LUỸ KẾ,,,
Số đầu năm,HAO MÔN LUỸ KẾ > Số đầu năm,Số đầu năm,27.985.874.842,76.318.729.689,104.304.604.531,27985874842.0,76318729689.0,104304604531.0
Khấu hao trong năm,HAO MÔN LUỸ KẾ > Khấu hao trong năm,Khấu hao trong năm,9.604.801.142,19.990.412.356,29.595.213.498,9604801142.0,19990412356.0,29595213498.0
Tăng do hợp nhất kinh doanh,HAO MÔN LUỸ KẾ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,1.189.790.449,4.382.144.895,5.571.935.344,1189790449.0,4382144895.0,5571935344.0
Số cuối năm,HAO MÔN LUỸ KẾ > Số cuối năm,Số cuối năm,38.780.466.433,100.691.286.940,139.471.753.373,38780466433.0,100691286940.0,139471753373.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,581.856.149.004,176.142.492.383,757.998.641.387,581856149004.0,176142492383.0,757998641387.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,662.800.195.867,181.238.007.732,844.038.203.599,662800195867.0,181238007732.0,844038203599.0
