row_label_raw,row_label_full,Các bên cho vay,Vay ngắn hạn,Vay ngắn hạn_1,Vay dài hạn,Vay dài hạn_1,Vay dài hạn_2,Vay dài hạn_3,Vay dài hạn_4,numeric__Vay ngắn hạn,numeric__Vay ngắn hạn_1,numeric__Vay dài hạn,numeric__Vay dài hạn_1,numeric__Vay dài hạn_2,numeric__Vay dài hạn_3,numeric__Vay dài hạn_4
Các bên cho vay,Các bên cho vay,Các bên cho vay,Số dư,Lãi suất/năm,Số dư vay dài hạn đến hạn trả,Số dư vay dài hạn,Tổng số dư,Lãi suất/năm,Kỳ hạn,,,,,,,
Ngân hàng,Các bên cho vay > Ngân hàng,Ngân hàng,3.414.691.032.767,,512.659.444.948,5.413.419.279.713,5.926.078.724.661,,,3414691032767.0,,512659444948.0,5413419279713.0,5926078724661.0,,
Ngân hàng 1,Các bên cho vay > Ngân hàng 1,Ngân hàng 1,1.137.921.915.121,"3,5% - 6%",58.539.123.920,784.366.486.607,842.905.610.527,8% - 10%,60 - 120 tháng,1137921915121.0,,58539123920.0,784366486607.0,842905610527.0,,
Ngân hàng 2,Các bên cho vay > Ngân hàng 2,Ngân hàng 2,-,,174.747.595.615,87.233.397.807,261.980.993.422,"6,92% - 8%",107 - 180 tháng,,,174747595615.0,87233397807.0,261980993422.0,,
Ngân hàng 3,Các bên cho vay > Ngân hàng 3,Ngân hàng 3,814.938.041.940,"2,8% - 6,6%",211.770.500.000,1.909.987.162.123,2.121.757.662.123,"6,2% - 10,3%",36 - 234 tháng,814938041940.0,,211770500000.0,1909987162123.0,2121757662123.0,,
Ngân hàng 4,Các bên cho vay > Ngân hàng 4,Ngân hàng 4,1.343.017.484.092,"3% - 6,5%",16.213.573.276,2.044.053.592.899,2.060.267.166.175,"7,1% - 9%",60 - 216 tháng,1343017484092.0,,16213573276.0,2044053592899.0,2060267166175.0,,
Ngân hàng 5,Các bên cho vay > Ngân hàng 5,Ngân hàng 5,-,,173.400.000,332.350.000,505.750.000,11%,60 tháng,,,173400000.0,332350000.0,505750000.0,0.11,
Ngân hàng 6,Các bên cho vay > Ngân hàng 6,Ngân hàng 6,59.540.498.000,"4,5% - 5,7%",47.433.000.000,582.057.304.166,629.490.304.166,"7,5% - 10%",60 - 120 tháng,59540498000.0,,47433000000.0,582057304166.0,629490304166.0,,
Ngân hàng 7,Các bên cho vay > Ngân hàng 7,Ngân hàng 7,-,,1.603.395.001,3.166.666.682,4.770.061.683,"11,25% - 11,55%",60 - 84 tháng,,,1603395001.0,3166666682.0,4770061683.0,,
Ngân hàng 8,Các bên cho vay > Ngân hàng 8,Ngân hàng 8,1.677.979.050,"4,75%",-,-,-,,,1677979050.0,0.0475,,,,,
Ngân hàng 9,Các bên cho vay > Ngân hàng 9,Ngân hàng 9,-,,2.178.857.136,1.863.571.429,4.042.428.565,"7,43% - 7,94%",22 - 60 tháng,,,2178857136.0,1863571429.0,4042428565.0,,
Ngân hàng 10,Các bên cho vay > Ngân hàng 10,Ngân hàng 10,41.080.688.400,"3,8% - 5%",-,-,-,,,41080688400.0,,,,,,
Ngân hàng 11,Các bên cho vay > Ngân hàng 11,Ngân hàng 11,16.514.426.164,"4% - 5,5%",-,358.748.000,358.748.000,"6,46%",48 tháng,16514426164.0,,,358748000.0,358748000.0,0.0646,
Tổ chức tài chính,Các bên cho vay > Tổ chức tài chính,Tổ chức tài chính,139.863.308.822,,2.572.900.994,10.767.973.151,13.340.874.145,,,139863308822.0,,2572900994.0,10767973151.0,13340874145.0,,
Tổ chức tài chính 1,Các bên cho vay > Tổ chức tài chính 1,Tổ chức tài chính 1,113.777.329.866,"12,5%",-,-,-,,,113777329866.0,0.125,,,,,
Tổ chức tài chính 2,Các bên cho vay > Tổ chức tài chính 2,Tổ chức tài chính 2,26.085.978.956,"10,5%",-,-,-,,,26085978956.0,0.105,,,,,
Tổ chức tài chính 3,Các bên cho vay > Tổ chức tài chính 3,Tổ chức tài chính 3,-,,1.613.838.494,-,1.613.838.494,"10,20%",54 tháng,,,1613838494.0,,1613838494.0,0.102,
Tổ chức tài chính 4,Các bên cho vay > Tổ chức tài chính 4,Tổ chức tài chính 4,-,,-,8.530.160.651,8.530.160.651,"9,30%",60 tháng,,,,8530160651.0,8530160651.0,0.09300000000000001,
Tổ chức tài chính 5,Các bên cho vay > Tổ chức tài chính 5,Tổ chức tài chính 5,-,,959.062.500,2.237.812.500,3.196.875.000,11%,48 tháng,,,959062500.0,2237812500.0,3196875000.0,0.11,
Đối tượng khác,Các bên cho vay > Đối tượng khác,Đối tượng khác,4.638.816.000,,-,239.700.000.000,239.700.000.000,,,4638816000.0,,,239700000000.0,239700000000.0,,
Đối tượng khác 1,Các bên cho vay > Đối tượng khác 1,Đối tượng khác 1,4.638.816.000,"4,9%",-,-,-,,,4638816000.0,0.049,,,,,
Đối tượng khác 2,Các bên cho vay > Đối tượng khác 2,Đối tượng khác 2,-,,-,239.700.000.000,239.700.000.000,"11,5%",36 tháng,,,,239700000000.0,239700000000.0,0.115,
Cộng,Các bên cho vay > Cộng,Cộng,3.559.193.157.589,,515.232.345.942,5.663.887.252.864,6.179.119.598.806,,,3559193157589.0,,515232345942.0,5663887252864.0,6179119598806.0,,
