row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Vốn khác của chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.486.319.650.000,84.146.444.796,125.326.835.329,-,-,192.402.394.312,(14.728.258.078),3.873.467.066.359,3486319650000.0,84146444796.0,125326835329.0,,,192402394312.0,-14728258078.0,3873467066359.0
Tăng vốn do hoán đổi cổ phiếu (*),Tăng vốn do hoán đổi cổ phiếu (*),Tăng vốn do hoán đổi cổ phiếu (*),5.438.800.000.000,9.844.228.000.000,-,-,-,-,-,15.283.028.000.000,5438800000000.0,9844228000000.0,,,,,,15283028000000.0
Tăng/giảm do hoán đổi cổ phiếu,Tăng/giảm do hoán đổi cổ phiếu,Tăng/giảm do hoán đổi cổ phiếu,-,(10.718.569.076.222),-,-,-,-,2.819.125.194.580,(7.899.443.881.642),,-10718569076222.0,,,,,2819125194580.0,-7899443881642.0
Lãi/lỗ trong năm trước,Lãi/lỗ trong năm trước,Lãi/lỗ trong năm trước,-,-,-,-,-,47.195.843.779,9.152.820.784,56.348.664.563,,,,,,47195843779.0,9152820784.0,56348664563.0
Giảm khác,Giảm khác,Giảm khác,-,(88.000.000),-,-,-,(11.064.185),-,(99.064.185),,-88000000.0,,,,-11064185.0,,-99064185.0
Số dư cuối năm trước/đầu năm nay,Số dư cuối năm trước/đầu năm nay,Số dư cuối năm trước/đầu năm nay,8.925.119.650.000,(790.282.631.426),125.326.835.329,-,-,239.587.173.906,2.813.549.757.286,11.313.300.785.095,8925119650000.0,-790282631426.0,125326835329.0,,,239587173906.0,2813549757286.0,11313300785095.0
Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,-,-,-,-,28.153.918.039,85.553.927.247,113.707.845.286,,,,,,28153918039.0,85553927247.0,113707845286.0
Lãi/lỗ trong năm nay,Lãi/lỗ trong năm nay,Lãi/lỗ trong năm nay,-,-,-,-,-,156.254.905.986,148.492.184.105,304.747.090.091,,,,,,156254905986.0,148492184105.0,304747090091.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,-,-,-,-,-,-,(136.352.285.055),(136.352.285.055),,,,,,,-136352285055.0,-136352285055.0
Phân phối các quỹ (*),Phân phối các quỹ (*),Phân phối các quỹ (*),-,-,-,-,96.137.142,(1.239.440.360),(3.892.185.994),(5.035.489.212),,,,,96137142.0,-1239440360.0,-3892185994.0,-5035489212.0
Tăng vốn vào Công ty con từ lợi nhuận chưa phân phối,Tăng vốn vào Công ty con từ lợi nhuận chưa phân phối,Tăng vốn vào Công ty con từ lợi nhuận chưa phân phối,-,-,-,5.200.000.000,-,(1.463.945.600),(8.536.054.400),(4.800.000.000),,,,5200000000.0,,-1463945600.0,-8536054400.0,-4800000000.0
Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,-,-,-,-,-,-,332.907.500.000,332.907.500.000,,,,,,,332907500000.0,332907500000.0
Thay đổi tỷ lệ sở hữu tại công ty con,Thay đổi tỷ lệ sở hữu tại công ty con,Thay đổi tỷ lệ sở hữu tại công ty con,-,-,-,-,-,(48.131.051.264),(291.918.292.736),(340.049.344.000),,,,,,-48131051264.0,-291918292736.0,-340049344000.0
Phân chia lợi nhuận sau thuế (**),Phân chia lợi nhuận sau thuế (**),Phân chia lợi nhuận sau thuế (**),-,-,-,-,-,(37.825.839.198),-,(37.825.839.198),,,,,,-37825839198.0,,-37825839198.0
Tăng/Giảm khác,Tăng/Giảm khác,Tăng/Giảm khác,-,(153.000.000),-,2.488.472.567,94.392.479,(7.953.464.393),15.789.798.637,10.266.199.290,,-153000000.0,,2488472567.0,94392479.0,-7953464393.0,15789798637.0,10266199290.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,8.925.119.650.000,(790.435.631.426),125.326.835.329,7.688.472.567,190.529.621,327.382.257.116,2.955.594.349.090,11.550.866.462.297,8925119650000.0,-790435631426.0,125326835329.0,7688472567.0,190529621.0,327382257116.0,2955594349090.0,11550866462297.0
