row_label_raw,row_label_full,"2.3 Đầu tư vào Công ty liên doanh, liên kết","2.3 Đầu tư vào Công ty liên doanh, liên kết_1","2.3 Đầu tư vào Công ty liên doanh, liên kết_2","2.3 Đầu tư vào Công ty liên doanh, liên kết_3","2.3 Đầu tư vào Công ty liên doanh, liên kết_4","2.3 Đầu tư vào Công ty liên doanh, liên kết_5","2.3 Đầu tư vào Công ty liên doanh, liên kết_6","numeric__2.3 Đầu tư vào Công ty liên doanh, liên kết_1","numeric__2.3 Đầu tư vào Công ty liên doanh, liên kết_2","numeric__2.3 Đầu tư vào Công ty liên doanh, liên kết_3","numeric__2.3 Đầu tư vào Công ty liên doanh, liên kết_4","numeric__2.3 Đầu tư vào Công ty liên doanh, liên kết_5","numeric__2.3 Đầu tư vào Công ty liên doanh, liên kết_6"
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá gốc,Giá trị theo phương pháp vốn chủ sở hữu,Dự phòng,Giá gốc,Giá trị theo phương pháp vốn chủ sở hữu,Dự phòng,,,,,,
Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,69.000.000.000,82.046.902.788,-,69.000.000.000,81.445.154.105,-,69000000000.0,82046902788.0,,69000000000.0,81445154105.0,
Công ty cổ phần NVT Holdings,Công ty cổ phần NVT Holdings,Công ty cổ phần NVT Holdings,668.100.000.000,598.066.837.818,-,668.100.000.000,640.354.249.536,-,668100000000.0,598066837818.0,,668100000000.0,640354249536.0,
Công ty cổ phần Toyota Đông Sài Gòn,Công ty cổ phần Toyota Đông Sài Gòn,Công ty cổ phần Toyota Đông Sài Gòn,29.106.059.000,69.147.265.368,-,29.106.059.000,70.284.372.925,-,29106059000.0,69147265368.0,,29106059000.0,70284372925.0,
Công ty TNHH Toyota Lý Thường Kiệt,Công ty TNHH Toyota Lý Thường Kiệt,Công ty TNHH Toyota Lý Thường Kiệt,-,-,-,16.925.119.945,33.596.266.403,-,,,,16925119945.0,33596266403.0,
Công ty TNHH Đầu tư Savico,Công ty TNHH Đầu tư Savico,Công ty TNHH Đầu tư Savico,-,-,-,64.000.000.000,67.082.986.920,-,,,,64000000000.0,67082986920.0,
Công ty cổ phần Đầu tư Thương mại Dịch vụ Ô tô Nam Sài Gòn,Công ty cổ phần Đầu tư Thương mại Dịch vụ Ô tô Nam Sài Gòn,Công ty cổ phần Đầu tư Thương mại Dịch vụ Ô tô Nam Sài Gòn,3.600.000.000,983.636.413,-,3.600.000.000,650.208.942,-,3600000000.0,983636413.0,,3600000000.0,650208942.0,
Công ty cổ phần Dịch vụ Ô tô Bình Thuận,Công ty cổ phần Dịch vụ Ô tô Bình Thuận,Công ty cổ phần Dịch vụ Ô tô Bình Thuận,-,-,-,15.000.000.000,23.634.233.081,-,,,,15000000000.0,23634233081.0,
Công ty cổ phần Ô tô Bến Thành Tây Ninh,Công ty cổ phần Ô tô Bến Thành Tây Ninh,Công ty cổ phần Ô tô Bến Thành Tây Ninh,-,-,-,12.500.000.000,16.639.555.556,-,,,,12500000000.0,16639555556.0,
Công ty TNHH Savico Quảng Nam,Công ty TNHH Savico Quảng Nam,Công ty TNHH Savico Quảng Nam,6.500.000.000,6.198.902.819,-,6.500.000.000,6.359.781.664,-,6500000000.0,6198902819.0,,6500000000.0,6359781664.0,
Công ty cổ phần Dịch vụ Sài Gòn Ô tô Gia Định,Công ty cổ phần Dịch vụ Sài Gòn Ô tô Gia Định,Công ty cổ phần Dịch vụ Sài Gòn Ô tô Gia Định,8.750.000.000,15.800.757.612,-,8.750.000.000,15.574.857.864,-,8750000000.0,15800757612.0,,8750000000.0,15574857864.0,
Công ty cổ phần Đầu tư Thương mại Dịch vụ Ô tô Sài Gòn Phú Lâm,Công ty cổ phần Đầu tư Thương mại Dịch vụ Ô tô Sài Gòn Phú Lâm,Công ty cổ phần Đầu tư Thương mại Dịch vụ Ô tô Sài Gòn Phú Lâm,-,-,-,10.000.000.000,10.729.853.372,-,,,,10000000000.0,10729853372.0,
Công ty cổ phần Đầu tư Tri Thức Tương Lai,Công ty cổ phần Đầu tư Tri Thức Tương Lai,Công ty cổ phần Đầu tư Tri Thức Tương Lai,37.703.000.000,38.491.610.165,-,37.703.000.000,37.703.000.000,-,37703000000.0,38491610165.0,,37703000000.0,37703000000.0,
Công ty cổ phần GreenLynk Automotives,Công ty cổ phần GreenLynk Automotives,Công ty cổ phần GreenLynk Automotives,18.000.000.000,14.743.113.716,-,18.000.000.000,18.000.000.000,-,18000000000.0,14743113716.0,,18000000000.0,18000000000.0,
Cộng,Cộng,Cộng,840.759.059.000,825.479.026.699,-,959.184.178.945,1.022.054.520.368,-,840759059000.0,825479026699.0,,959184178945.0,1022054520368.0,
