row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 47.685.624.446,Số phải nộp/tăng do hợp nhất trong năm > 341.288.309.578,Số đã nộp trong năm > 320.780.039.149,Số cuối năm > 68.193.894.875,numeric__Số đầu năm > 47.685.624.446,numeric__Số phải nộp/tăng do hợp nhất trong năm > 341.288.309.578,numeric__Số đã nộp trong năm > 320.780.039.149,numeric__Số cuối năm > 68.193.894.875
Thuế thu nhập doanh nghiệp (i),Thuế thu nhập doanh nghiệp (i),Thuế thu nhập doanh nghiệp (i),87.703.546.190,186.256.289.446,94.115.562.701,179.844.272.935,87703546190.0,186256289446.0,94115562701.0,179844272935.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,16.230.993.252,100.922.779.416,101.387.070.913,15.766.701.755,16230993252.0,100922779416.0,101387070913.0,15766701755.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,8.662.659.630,461.074.012.735,462.118.359.710,7.618.312.655,8662659630.0,461074012735.0,462118359710.0,7618312655.0
Cộng,Cộng,Cộng,160.282.823.518,1.089.541.391.175,978.401.032.473,271.423.182.220,160282823518.0,1089541391175.0,978401032473.0,271423182220.0
