row_label_raw,row_label_full,Tên,Địa chỉ,Ngành nghề kinh doanh,Tỷ lệ lợi ích (%),Tỷ lệ quyền biểu quyết(%),numeric__Địa chỉ,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ quyền biểu quyết(%)
- Công ty cổ phần phân phối xe thương mại Tasco,- Công ty cổ phần phân phối xe thương mại Tasco,- Công ty cổ phần phân phối xe thương mại Tasco,Hà Nội,Dịch vụ thương mại,"67,52%","70,00%",,,0.6751999999999999,0.7
- Công ty cổ phần Ô tô Bến Thành Tây Ninh,- Công ty cổ phần Ô tô Bến Thành Tây Ninh,- Công ty cổ phần Ô tô Bến Thành Tây Ninh,Tây Ninh,Dịch vụ thương mại,"7,20%","51,00%",,,0.07200000000000001,0.51
- Công ty cổ phần Ô tô Đông Bình Dương,- Công ty cổ phần Ô tô Đông Bình Dương,- Công ty cổ phần Ô tô Đông Bình Dương,Bình Dương,Dịch vụ thương mại,"30,52%","65,00%",,,0.30519999999999997,0.65
- Công ty TNHH Toyota Lý Thường Kiệt,- Công ty TNHH Toyota Lý Thường Kiệt,- Công ty TNHH Toyota Lý Thường Kiệt,Hồ Chí Minh,Dịch vụ thương mại,"67,67%","100,00%",,,0.6767,1.0
- Công ty TNHH Đầu tư Savico,- Công ty TNHH Đầu tư Savico,- Công ty TNHH Đầu tư Savico,Hồ Chí Minh,Kinh doanh bắt động sản,"52,17%","100,00%",,,0.5217,1.0
- Công ty cổ phần Dịch vụ Ô tô Bình Thuận,- Công ty cổ phần Dịch vụ Ô tô Bình Thuận,- Công ty cổ phần Dịch vụ Ô tô Bình Thuận,Bình Thuận,Dịch vụ thương mại,"13,85%","51,00%",,,0.13849999999999998,0.51
- Công ty cổ phần Đầu tư Thương mại Dịch vụ Ô tô Sài Gòn Phú Lâm,- Công ty cổ phần Đầu tư Thương mại Dịch vụ Ô tô Sài Gòn Phú Lâm,- Công ty cổ phần Đầu tư Thương mại Dịch vụ Ô tô Sài Gòn Phú Lâm,Hồ Chí Minh,Dịch vụ thương mại,"13,85%","51,00%",,,0.13849999999999998,0.51
- Công ty TNHH Phân phối Ô tô Tasco,- Công ty TNHH Phân phối Ô tô Tasco,- Công ty TNHH Phân phối Ô tô Tasco,Hà Nội,Dịch vụ thương mại,"96,45%","100,00%",,,0.9645,1.0
- Công ty TNHH Sweden Auto,- Công ty TNHH Sweden Auto,- Công ty TNHH Sweden Auto,Hồ Chí Minh,Dịch vụ thương mại,"96,45%","100,00%",,,0.9645,1.0
- Công ty cổ phần Giải pháp Ô tô,- Công ty cổ phần Giải pháp Ô tô,- Công ty cổ phần Giải pháp Ô tô,Hồ Chí Minh,Dịch vụ thương mại,"52,17%","100,00%",,,0.5217,1.0
- Công ty cổ phần Ô tô Bình Thuận,- Công ty cổ phần Ô tô Bình Thuận,- Công ty cổ phần Ô tô Bình Thuận,Bình Thuận,Dịch vụ thương mại,"11,00%","65,00%",,,0.11,0.65
- Công ty TNHH MTV Premium EV,- Công ty TNHH MTV Premium EV,- Công ty TNHH MTV Premium EV,Hà Nội,Dịch vụ thương mại,"96,45%","100,00%",,,0.9645,1.0
- Công ty TNHH MTV Toyota Tây Ninh,- Công ty TNHH MTV Toyota Tây Ninh,- Công ty TNHH MTV Toyota Tây Ninh,Tây Ninh,Dịch vụ thương mại,"67,67%","100,00%",,,0.6767,1.0
- Công ty TNHH Kinh doanh Ô tô Tasco,- Công ty TNHH Kinh doanh Ô tô Tasco,- Công ty TNHH Kinh doanh Ô tô Tasco,Hà Nội,Dịch vụ thương mại,"96,45%","100,00%",,,0.9645,1.0
"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,,
- Công ty cổ phần NVT Holdings,"Công ty liên doanh, liên kết > - Công ty cổ phần NVT Holdings",- Công ty cổ phần NVT Holdings,Hà Nội,Kinh doanh bắt động sản,"50,00%","50,00%",,,0.5,0.5
- Công ty TNHH BOT Hùng Thắng Phú Thọ,"Công ty liên doanh, liên kết > - Công ty TNHH BOT Hùng Thắng Phú Thọ",- Công ty TNHH BOT Hùng Thắng Phú Thọ,Phú Thọ,Hạ tầng giao thông,"30,00%","30,00%",,,0.3,0.3
- Công ty cổ phần Toyota Đông Sài Gòn,"Công ty liên doanh, liên kết > - Công ty cổ phần Toyota Đông Sài Gòn",- Công ty cổ phần Toyota Đông Sài Gòn,Hồ Chí Minh,Dịch vụ thương mại,"15,81%","30,30%",,,0.15810000000000002,0.303
- Công ty cổ phần Đầu tư Thương mại Dịch vụ Ô tô Nam Sài Gòn,"Công ty liên doanh, liên kết > - Công ty cổ phần Đầu tư Thương mại Dịch vụ Ô tô Nam Sài Gòn",- Công ty cổ phần Đầu tư Thương mại Dịch vụ Ô tô Nam Sài Gòn,Hồ Chí Minh,Dịch vụ thương mại,"8,15%","30,00%",,,0.0815,0.3
- Công ty TNHH Savico Quảng Nam,"Công ty liên doanh, liên kết > - Công ty TNHH Savico Quảng Nam",- Công ty TNHH Savico Quảng Nam,Quảng Nam,Dịch vụ thương mại,"18,26%","50,00%",,,0.1826,0.5
- Công ty cổ phần Dịch vụ Sài Gòn Ô tô Gia Định,"Công ty liên doanh, liên kết > - Công ty cổ phần Dịch vụ Sài Gòn Ô tô Gia Định",- Công ty cổ phần Dịch vụ Sài Gòn Ô tô Gia Định,Hồ Chí Minh,Dịch vụ thương mại,"9,50%","35,00%",,,0.095,0.35
- Công ty cổ phần GreenLynk Automotives,"Công ty liên doanh, liên kết > - Công ty cổ phần GreenLynk Automotives",- Công ty cổ phần GreenLynk Automotives,Hồ Chí Minh,Dịch vụ thương mại,"18,93%","36,00%",,,0.1893,0.36
- Công ty cổ phần Đầu tư Tri thức Tương Lai,"Công ty liên doanh, liên kết > - Công ty cổ phần Đầu tư Tri thức Tương Lai",- Công ty cổ phần Đầu tư Tri thức Tương Lai,Hà Nội,Kinh doanh BĐS và giáo dục,"24,59%","47,13%",,,0.2459,0.47130000000000005
