row_label_raw,row_label_full,21.1 Phải trả ngắn hạn khác,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Phải trả khác là bên thứ ba,Phải trả khác là bên thứ ba,Phải trả khác là bên thứ ba,1.947.354.861.750,3.214.784.879.504,1947354861750.0,3214784879504.0
Bảo hiểm xã hội,Bảo hiểm xã hội,Bảo hiểm xã hội,144.813.563,429.658.250,144813563.0,429658250.0
Bảo hiểm y tế,Bảo hiểm y tế,Bảo hiểm y tế,38.930.261,325.058.666,38930261.0,325058666.0
Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,11.574.697,164.398.520,11574697.0,164398520.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,896.759.083,3.569.399.007,896759083.0,3569399007.0
"Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",-,2.729.452.741,,2729452741.0
"Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",9.485.062.740,22.614.666.840,9485062740.0,22614666840.0
Phải trả đối tác liên doanh,Phải trả đối tác liên doanh,Phải trả đối tác liên doanh,208.025.614.337,-,208025614337.0,
Phần vốn được ủy quyền từ cá nhân,Phần vốn được ủy quyền từ cá nhân,Phần vốn được ủy quyền từ cá nhân,-,1.710.200.000.000,,1710200000000.0
Phải trả khách hàng ETC,Phải trả khách hàng ETC,Phải trả khách hàng ETC,997.475.610.470,913.513.735.544,997475610470.0,913513735544.0
Lãi phải trả theo điều khoản hợp đồng,Lãi phải trả theo điều khoản hợp đồng,Lãi phải trả theo điều khoản hợp đồng,39.894.965.585,-,39894965585.0,
Phải trả tiền mua cổ phần,Phải trả tiền mua cổ phần,Phải trả tiền mua cổ phần,50.000.000.000,104.700.000.000,50000000000.0,104700000000.0
"Phải trả, phải nộp khác","Phải trả, phải nộp khác","Phải trả, phải nộp khác",641.381.531.014,456.538.509.936,641381531014.0,456538509936.0
Phải trả khác là bên liên quan,Phải trả khác là bên liên quan,Phải trả khác là bên liên quan,1.177.549.292,465.153.000,1177549292.0,465153000.0
(Chi tiết phải trả khác là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả khác là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả khác là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả khác là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả khác là bên liên quan được thuyết minh tại thuyết minh số VIII.2),,
Cộng,(Chi tiết phải trả khác là bên liên quan được thuyết minh tại thuyết minh số VIII.2) > Cộng,Cộng,1.948.532.411.042,3.215.250.032.504,1948532411042.0,3215250032504.0
