row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
Phải thu khác từ bên thứ ba,Phải thu khác từ bên thứ ba,Phải thu khác từ bên thứ ba,3.200.291.972.702,(28.142.327.216),3.333.208.931.674,(28.142.327.216),3200291972702.0,-28142327216.0,3333208931674.0,-28142327216.0
Tạm ứng,Tạm ứng,Tạm ứng,131.547.731.321,(7.123.997.047),58.660.322.722,(7.123.997.047),131547731321.0,-7123997047.0,58660322722.0,-7123997047.0
"Ký cược, ký quỹ ngắn hạn","Ký cược, ký quỹ ngắn hạn","Ký cược, ký quỹ ngắn hạn",206.255.311.593,-,440.697.440.199,-,206255311593.0,,440697440199.0,
Phải thu giá trị hoàn trả suất đầu tư,Phải thu giá trị hoàn trả suất đầu tư,Phải thu giá trị hoàn trả suất đầu tư,123.315.692.170,-,48.324.177.720,-,123315692170.0,,48324177720.0,
Phải thu hợp đồng hợp tác đầu tư,Phải thu hợp đồng hợp tác đầu tư,Phải thu hợp đồng hợp tác đầu tư,1.525.665.410.060,-,1.885.503.923.835,-,1525665410060.0,,1885503923835.0,
Phải thu hợp đồng hợp tác kinh doanh,Phải thu hợp đồng hợp tác kinh doanh,Phải thu hợp đồng hợp tác kinh doanh,448.530.000.000,-,287.500.000.000,-,448530000000.0,,287500000000.0,
Phải thu tiền đặt cọc cho kinh doanh xe ô tô đã qua sử dụng hộ khách hàng,Phải thu tiền đặt cọc cho kinh doanh xe ô tô đã qua sử dụng hộ khách hàng,Phải thu tiền đặt cọc cho kinh doanh xe ô tô đã qua sử dụng hộ khách hàng,327.373.050.297,-,227.742.362.457,-,327373050297.0,,227742362457.0,
Phải thu khác,Phải thu khác,Phải thu khác,437.604.777.261,(21.018.330.169),384.780.704.741,(21.018.330.169),437604777261.0,-21018330169.0,384780704741.0,-21018330169.0
Phải thu khác từ bên liên quan,Phải thu khác từ bên liên quan,Phải thu khác từ bên liên quan,41.636.517.657,-,2.742.347.427,-,41636517657.0,,2742347427.0,
Phải thu khác,Phải thu khác,Phải thu khác,41.636.517.657,-,2.742.347.427,-,41636517657.0,,2742347427.0,
(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2),,,,
Cộng,(Chi tiết phải thu khác từ bên liên quan được thuyết minh tại thuyết minh số VIII.2) > Cộng,Cộng,3.241.928.490.359,(28.142.327.216),3.335.951.279.101,(28.142.327.216),3241928490359.0,-28142327216.0,3335951279101.0,-28142327216.0
