row_label_raw,row_label_full,col_0,Máy móc thiết bị,Phương tiện vận tải truyền dẫn,Tổng cộng,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải truyền dẫn,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,13.765.114.987,27.739.579.181,41.504.694.168,13765114987.0,27739579181.0,41504694168.0
Thuê trong năm,Nguyên giá > Thuê trong năm,Thuê trong năm,586.000.000,4.886.002.727,5.472.002.727,586000000.0,4886002727.0,5472002727.0
Mua lại TSCĐ thuê tài chính,Nguyên giá > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,-,(17.263.741.455),(17.263.741.455),,-17263741455.0,-17263741455.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,14.351.114.987,15.361.840.453,29.712.955.440,14351114987.0,15361840453.0,29712955440.0
Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,,,
Số đầu năm,Hao mòn luỹ kế > Số đầu năm,Số đầu năm,439.416.725,3.235.411.274,3.674.827.999,439416725.0,3235411274.0,3674827999.0
Khấu hao trong năm,Hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,1.376.905.297,4.591.228.772,5.968.134.069,1376905297.0,4591228772.0,5968134069.0
Mua lại TSCĐ thuê tài chính,Hao mòn luỹ kế > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,-,(4.033.302.082),(4.033.302.082),,-4033302082.0,-4033302082.0
Số cuối năm,Hao mòn luỹ kế > Số cuối năm,Số cuối năm,1.816.322.022,3.793.337.964,5.609.659.986,1816322022.0,3793337964.0,5609659986.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,13.325.698.262,24.504.167.907,37.829.866.169,13325698262.0,24504167907.0,37829866169.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,12.534.792.965,11.568.502.489,24.103.295.454,12534792965.0,11568502489.0,24103295454.0
