row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 491.602.818,Số phải thu/tăng do hợp nhất trong năm > 1.094.425.932,Số đã thu/cán trừ trong năm > -,Số cuối năm > 1.586.028.750,numeric__Số đầu năm > 491.602.818,numeric__Số phải thu/tăng do hợp nhất trong năm > 1.094.425.932,numeric__Số đã thu/cán trừ trong năm > -,numeric__Số cuối năm > 1.586.028.750
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,5.329.623.171,3.080.014.248,324.314.074,8.085.323.345,5329623171.0,3080014248.0,324314074.0,8085323345.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,261.939.596,-,89.039.636,172.899.960,261939596.0,,89039636.0,172899960.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,5.471.998.272,36.501.838.152,663.879.500,41.309.956.924,5471998272.0,36501838152.0,663879500.0,41309956924.0
Cộng,Cộng,Cộng,11.555.163.857,40.676.278.332,1.077.233.210,51.154.208.979,11555163857.0,40676278332.0,1077233210.0,51154208979.0
