row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*),"Nhà cửa, vật kiến trúc",Tài sản khác,Tổng cộng,numeric__Quyền sử dụng đất (*),"numeric__Nhà cửa, vật kiến trúc",numeric__Tài sản khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,159.362.332.080,1.010.073.500.535,530.541.500.000,1.699.977.332.615,159362332080.0,1010073500535.0,530541500000.0,1699977332615.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,16.961.767.636,-,16.961.767.636,,16961767636.0,,16961767636.0
Tăng do hợp nhất kinh doanh,Nguyên giá > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,100.750.725.413,-,100.750.725.413,,100750725413.0,,100750725413.0
Chuyển từ TSCĐ sang BĐS ĐT,Nguyên giá > Chuyển từ TSCĐ sang BĐS ĐT,Chuyển từ TSCĐ sang BĐS ĐT,-,2.546.087.555,-,2.546.087.555,,2546087555.0,,2546087555.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,159.362.332.080,1.130.332.081.139,530.541.500.000,1.820.235.913.219,159362332080.0,1130332081139.0,530541500000.0,1820235913219.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,19.766.849.311,307.035.068.462,31.132.027.111,357.933.944.884,19766849311.0,307035068462.0,31132027111.0,357933944884.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,5.716.434.705,33.363.378.657,15.566.013.552,54.645.826.914,5716434705.0,33363378657.0,15566013552.0,54645826914.0
Tăng do hợp nhất kinh doanh,Giá trị hao mòn lũy kế > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,16.791.787.560,-,16.791.787.560,,16791787560.0,,16791787560.0
Chuyển từ TSCĐ sang BĐS ĐT,Giá trị hao mòn lũy kế > Chuyển từ TSCĐ sang BĐS ĐT,Chuyển từ TSCĐ sang BĐS ĐT,-,217.413.209,-,217.413.209,,217413209.0,,217413209.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,25.483.284.016,357.407.647.888,46.698.040.663,429.588.972.567,25483284016.0,357407647888.0,46698040663.0,429588972567.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,139.595.482.769,703.038.432.073,499.409.472.889,1.342.043.387.731,139595482769.0,703038432073.0,499409472889.0,1342043387731.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,133.879.048.064,772.924.433.251,483.843.459.337,1.390.646.940.652,133879048064.0,772924433251.0,483843459337.0,1390646940652.0
