row_label_raw,row_label_full,Tên,Địa chỉ,Ngành nghề kinh doanh,Tỷ lệ lợi ích (%),Tỷ lệ quyền biểu quyết(%),numeric__Địa chỉ,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ quyền biểu quyết(%)
Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,,,,
- Công ty TNHH Tasco BOT,Công ty con trực tiếp > - Công ty TNHH Tasco BOT,- Công ty TNHH Tasco BOT,Hà Nội,Hạ tầng giao thông,"100,00%","100,00%",,,1.0,1.0
- Công ty cổ phần VETC,Công ty con trực tiếp > - Công ty cổ phần VETC,- Công ty cổ phần VETC,Hà Nội,Dịch vụ,"99,26%","99,26%",,,0.9926,0.9926
- Công ty TNHH Tasco Land,Công ty con trực tiếp > - Công ty TNHH Tasco Land,- Công ty TNHH Tasco Land,Hà Nội,Bất động sản,"100,00%","100,00%",,,1.0,1.0
- Công ty TNHH Bảo hiểm Tasco,Công ty con trực tiếp > - Công ty TNHH Bảo hiểm Tasco,- Công ty TNHH Bảo hiểm Tasco,Hà Nội,Bảo hiểm phí nhân thọ,"100,00%","100,00%",,,1.0,1.0
- Công ty cổ phần Tasco Auto(Tên cũ: Công ty TNHH Tasco Auto),Công ty con trực tiếp > - Công ty cổ phần Tasco Auto(Tên cũ: Công ty TNHH Tasco Auto),- Công ty cổ phần Tasco Auto(Tên cũ: Công ty TNHH Tasco Auto),Hà Nội,Dịch vụ thương mại,"96,45%","96,45%",,,0.9645,0.9645
Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,,,,
- Công ty cổ phần Tasco Nam Thái,Công ty con gián tiếp > - Công ty cổ phần Tasco Nam Thái,- Công ty cổ phần Tasco Nam Thái,Thái Bình,Xây lắp,"99,97%","99,97%",,,0.9997,0.9997
- Công ty TNHH MTV Tasco 6,Công ty con gián tiếp > - Công ty TNHH MTV Tasco 6,- Công ty TNHH MTV Tasco 6,Nam Định,Hạ tầng giao thông,"100,00%","100,00%",,,1.0,1.0
- Công ty TNHH MTV Tasco Quảng Bình,Công ty con gián tiếp > - Công ty TNHH MTV Tasco Quảng Bình,- Công ty TNHH MTV Tasco Quảng Bình,Quảng Bình,Hạ tầng giao thông,"100,00%","100,00%",,,1.0,1.0
- Công ty TNHH MTV Tasco Hải Phòng,Công ty con gián tiếp > - Công ty TNHH MTV Tasco Hải Phòng,- Công ty TNHH MTV Tasco Hải Phòng,Hải Phòng,Hạ tầng giao thông,"100,00%","100,00%",,,1.0,1.0
- Công ty TNHH thu phí tự động VETC,Công ty con gián tiếp > - Công ty TNHH thu phí tự động VETC,- Công ty TNHH thu phí tự động VETC,Hà Nội,Dịch vụ thu phí,"99,35%","100,00%",,,0.9934999999999999,1.0
- Công ty cổ phần Dịch vụ Tổng hợp Sài Gòn,Công ty con gián tiếp > - Công ty cổ phần Dịch vụ Tổng hợp Sài Gòn,- Công ty cổ phần Dịch vụ Tổng hợp Sài Gòn,Hồ Chí Minh,"Dịch vụ thương mại, bất động sản, dịch vụ tài chính","52,17%","54,09%",,,0.5217,0.5409
- Công ty TNHH New Energy Holdings,Công ty con gián tiếp > - Công ty TNHH New Energy Holdings,- Công ty TNHH New Energy Holdings,Hà Nội,Dịch vụ thương mại,"95,14%","98,64%",,,0.9514,0.9864
