row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
I.,I.,I.,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,,425.822.560.804,55.845.910.188,,1.0,,425822560804.0,55845910188.0
2.,2.,2.,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,,,,
-,2. > -,-,Khấu hao tài sản cố định và bất động sản đầu tư,02,,865.411.482.042,494.962.414.253,,2.0,,865411482042.0,494962414253.0
-,2. > -,-,Các khoản dự phòng,03,,64.300.931.784,41.996.305.673,,3.0,,64300931784.0,41996305673.0
-,2. > -,-,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,886.541.491,(81.337.739),,4.0,,886541491.0,-81337739.0
-,2. > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,,(672.226.266.724),(321.232.659.141),,5.0,,-672226266724.0,-321232659141.0
-,2. > -,-,Chi phí lãi vay,06,,623.497.739.767,385.698.233.569,,6.0,,623497739767.0,385698233569.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,1.307.692.989.164,657.188.866.803,,8.0,,1307692989164.0,657188866803.0
-,2. > -,-,"Tăng, giảm các khoản phải thu",09,,1.385.157.630.299,(1.064.720.933.180),,9.0,,1385157630299.0,-1064720933180.0
-,2. > -,-,"Tăng, giảm hàng tồn kho",10,,(344.354.682.782),505.121.641.241,,10.0,,-344354682782.0,505121641241.0
-,2. > -,-,"Tăng, giảm các khoản phải trả",11,,381.625.510.567,1.625.819.333.822,,11.0,,381625510567.0,1625819333822.0
-,2. > -,-,"Tăng, giảm chi phí trả trước",12,,(102.116.172.903),66.364.046.215,,12.0,,-102116172903.0,66364046215.0
-,2. > -,-,"Tăng, giảm chứng khoán kinh doanh",13,,-,356.531.560.000,,13.0,,,356531560000.0
-,2. > -,-,Tiền lãi vay đã trả,14,,(463.649.563.582),(420.493.414.921),,14.0,,-463649563582.0,-420493414921.0
-,2. > -,-,Thuế thu nhập doanh nghiệp đã nộp,15,,(97.195.576.949),(133.615.253.863),,15.0,,-97195576949.0,-133615253863.0
-,2. > -,-,Tiền thu khác từ hoạt động kinh doanh,16,,-,-,,16.0,,,
-,2. > -,-,Tiền chi khác cho hoạt động kinh doanh,17,,(4.544.027.478),(88.000.000),,17.0,,-4544027478.0,-88000000.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,2.062.616.106.336,1.592.107.846.117,,20.0,,2062616106336.0,1592107846117.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1.,II. > 1.,1.,"Tiền chi đề mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",21,,(711.475.586.949),(209.017.829.229),,21.0,,-711475586949.0,-209017829229.0
2.,II. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",22,,81.820.095.713,20.358.173.730,,22.0,,81820095713.0,20358173730.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,(3.182.907.999.889),(1.565.790.902.813),,23.0,,-3182907999889.0,-1565790902813.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,2.614.856.005.410,1.371.273.924.141,,24.0,,2614856005410.0,1371273924141.0
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,(937.401.046.390),(174.726.000.000),,25.0,,-937401046390.0,-174726000000.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,736.318.257.962,536.135.658.978,,26.0,,736318257962.0,536135658978.0
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,223.165.638.708,109.816.452.688,,27.0,,223165638708.0,109816452688.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(1.175.624.635.435),88.049.477.495,,30.0,,-1175624635435.0,88049477495.0
