row_label_raw,row_label_full,col_0,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,122.625.191.339,122625191339.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,411.279.586.149,411279586149.0
"Hàng tồn kho, thuần","Hàng tồn kho, thuần","Hàng tồn kho, thuần",85.402.884.091,85402884091.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,20.309.926.701,20309926701.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,49.965.000.000,49965000000.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,434.401.033.162,434401033162.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,139.629.894.674,139629894674.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,(618.194.370.232),-618194370232.0
Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,(263.353.135.803),-263353135803.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,382.066.010.081,382066010081.0
"Tài sản thuần được hợp nhất (74,99%)","Tài sản thuần được hợp nhất (74,99%)","Tài sản thuần được hợp nhất (74,99%)",286.548.957.688,286548957688.0
Lợi thế thương mại phát sinh từ việc hợp nhất kinh doanh MSJ trong quá khứ,Lợi thế thương mại phát sinh từ việc hợp nhất kinh doanh MSJ trong quá khứ,Lợi thế thương mại phát sinh từ việc hợp nhất kinh doanh MSJ trong quá khứ,28.484.762.312,28484762312.0
Giá phí hợp nhất kinh doanh chưa thanh toán,Giá phí hợp nhất kinh doanh chưa thanh toán,Giá phí hợp nhất kinh doanh chưa thanh toán,315.033.720.000,315033720000.0
Khoản tiền thuần thu được,Khoản tiền thuần thu được,Khoản tiền thuần thu được,122.625.191.339,122625191339.0
