row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,218.419.237.141,20.950.856.339,2.228.543.469,241.598.636.949,218419237141.0,20950856339.0,2228543469.0,241598636949.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,177.151.780.304,6.528.233.884,990.155.360,184.670.169.548,177151780304.0,6528233884.0,990155360.0,184670169548.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(18.222.464.953),-,-,(18.222.464.953),-18222464953.0,,,-18222464953.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(2.360.000.000),-,(2.360.000.000),,-2360000000.0,,-2360000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,377.348.552.492,25.119.090.223,3.218.698.829,405.686.341.544,377348552492.0,25119090223.0,3218698829.0,405686341544.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,27.590.138.145,3.900.444.105,557.926.391,32.048.508.641,27590138145.0,3900444105.0,557926391.0,32048508641.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,20.211.731.608,9.630.470.239,1.783.611.111,31.625.812.958,20211731608.0,9630470239.0,1783611111.0,31625812958.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(6.568.562.968),-,-,(6.568.562.968),-6568562968.0,,,-6568562968.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(729.635.674),-,(729.635.674),,-729635674.0,,-729635674.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,41.233.306.785,12.801.278.670,2.341.537.502,56.376.122.957,41233306785.0,12801278670.0,2341537502.0,56376122957.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,190.829.098.996,17.050.412.234,1.670.617.078,209.550.128.308,190829098996.0,17050412234.0,1670617078.0,209550128308.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,336.115.245.707,12.317.811.553,877.161.327,349.310.218.587,336115245707.0,12317811553.0,877161327.0,349310218587.0
