row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,ThườnghiệuVND,Mối quan hệkhách hàngVND,TổngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__ThườnghiệuVND,numeric__Mối quan hệkhách hàngVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,12.487.500.000,4.119.524.039,199.782.021.840,122.877.276.845,339.266.322.724,12487500000.0,4119524039.0,199782021840.0,122877276845.0,339266322724.0
Tăng do hợp nhất kinh doanh,Nguyên giá > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,-,5.682.736.482,-,5.682.736.482,,,5682736482.0,,5682736482.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.001.000.000,-,-,1.001.000.000,,1001000000.0,,,1001000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,12.487.500.000,5.120.524.039,205.464.758.322,122.877.276.845,345.950.059.206,12487500000.0,5120524039.0,205464758322.0,122877276845.0,345950059206.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,2.422.712.984,24.047.835.963,8.319.815.620,34.790.364.567,,2422712984.0,24047835963.0,8319815620.0,34790364567.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,922.898.895,22.381.316.512,7.679.829.804,30.984.045.211,,922898895.0,22381316512.0,7679829804.0,30984045211.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,3.345.611.879,46.429.152.475,15.999.645.424,65.774.409.778,,3345611879.0,46429152475.0,15999645424.0,65774409778.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,12.487.500.000,1.696.811.055,175.734.185.877,114.557.461.225,304.475.958.157,12487500000.0,1696811055.0,175734185877.0,114557461225.0,304475958157.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,12.487.500.000,1.774.912.160,159.035.605.847,106.877.631.421,280.175.649.428,12487500000.0,1774912160.0,159035605847.0,106877631421.0,280175649428.0
