row_label_raw,row_label_full,col_0,Trang trại,Trang trại_1,Thịt và các sản phẩm từ thịt,Thịt và các sản phẩm từ thịt_1,Thức ăn chăn nuôi,Thức ăn chăn nuôi_1,Loại trừ,Loại trừ_1,Hợp nhất,Hợp nhất_1,numeric__Trang trại,numeric__Trang trại_1,numeric__Thịt và các sản phẩm từ thịt,numeric__Thịt và các sản phẩm từ thịt_1,numeric__Thức ăn chăn nuôi,numeric__Thức ăn chăn nuôi_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,31/12/2022VND,1/1/2022VND,31/12/2022VND,1/1/2022VND,31/12/2022VND,1/1/2022VND,31/12/2022VND,1/1/2022VND,31/12/2022VND,1/1/2022VND,,,,,,,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,2.886.118.886.729,3.125.374.724.087,5.351.368.399.765,3.140.832.585.382,-,-,-,-,8.237.487.286.494,6.266.207.309.469,2886118886729.0,3125374724087.0,5351368399765.0,3140832585382.0,,,,,8237487286494.0,6266207309469.0
Đầu tư vào một công ty liên kết,Đầu tư vào một công ty liên kết,Đầu tư vào một công ty liên kết,-,-,2.135.490.172.000,2.135.490.172.000,-,-,-,-,2.135.490.172.000,2.135.490.172.000,,,2135490172000.0,2135490172000.0,,,,,2135490172000.0,2135490172000.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,2.973.411.375.049,3.469.328.546.132,,,,,,,,,2973411375049.0,3469328546132.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,,,13.346.388.833.543,11.871.026.027.601,,,,,,,,,13346388833543.0,11871026027601.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.185.036.958.350,1.190.201.196.358,4.714.789.885.522,3.002.280.716.971,-,-,-,-,5.899.826.843.872,4.192.481.913.329,1185036958350.0,1190201196358.0,4714789885522.0,3002280716971.0,,,,,5899826843872.0,4192481913329.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,,1.823.060.298.354,1.927.384.782.252,,,,,,,,,1823060298354.0,1927384782252.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,,7.722.887.142.226,6.119.866.695.581,,,,,,,,,7722887142226.0,6119866695581.0
,,,2022VND,2021VND,2022VND,2021VND,2022VND,2021VND,2022VND,2021VND,2022VND,2021VND,,,,,,,,,,
Chi tiêu vốn,Chi tiêu vốn,Chi tiêu vốn,112.257.307.689,214.521.344.008,555.189.703.061,443.792.864.020,-,52.754.736.885,-,-,667.447.010.750,711.068.944.913,112257307689.0,214521344008.0,555189703061.0,443792864020.0,,52754736885.0,,,667447010750.0,711068944913.0
Khẩu hao và phân bổ,Khẩu hao và phân bổ,Khẩu hao và phân bổ,168.585.043.994,167.985.679.766,168.236.618.116,127.597.666.640,-,455.633.379.338,-,-,336.821.662.110,751.216.725.744,168585043994.0,167985679766.0,168236618116.0,127597666640.0,,455633379338.0,,,336821662110.0,751216725744.0
