row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2022VND,2021VND,,
Công ty Cổ phần Tầm nhìn Masan,Công ty Cổ phần Tầm nhìn Masan,Công ty Cổ phần Tầm nhìn Masan,Công ty Cổ phần Tầm nhìn Masan,Công ty Cổ phần Tầm nhìn Masan,,
Cho vay,Công ty Cổ phần Tầm nhìn Masan > Cho vay,Cho vay,3.028.150.000.000,-,3028150000000.0,
Thu hồi khoản cho vay,Công ty Cổ phần Tầm nhìn Masan > Thu hồi khoản cho vay,Thu hồi khoản cho vay,967.000.000.000,-,967000000000.0,
Thu nhập lãi cho vay,Công ty Cổ phần Tầm nhìn Masan > Thu nhập lãi cho vay,Thu nhập lãi cho vay,88.569.667.806,-,88569667806.0,
Vay,Công ty Cổ phần Tầm nhìn Masan > Vay,Vay,568.800.000.000,-,568800000000.0,
Trả nợ gốc vay,Công ty Cổ phần Tầm nhìn Masan > Trả nợ gốc vay,Trả nợ gốc vay,568.800.000.000,400.000.000.000,568800000000.0,400000000000.0
Bán chứng khoán kinh doanh,Công ty Cổ phần Tầm nhìn Masan > Bán chứng khoán kinh doanh,Bán chứng khoán kinh doanh,192.040.766.838,-,192040766838.0,
Phát hành trái phiếu hoán đổi,Công ty Cổ phần Tầm nhìn Masan > Phát hành trái phiếu hoán đổi,Phát hành trái phiếu hoán đổi,-,650.506.000.000,,650506000000.0
Chi phí lãi vay,Công ty Cổ phần Tầm nhìn Masan > Chi phí lãi vay,Chi phí lãi vay,-,10.129.315.066,,10129315066.0
Cổ tức công bố,Công ty Cổ phần Tầm nhìn Masan > Cổ tức công bố,Cổ tức công bố,-,145.991.898.500,,145991898500.0
Công ty TNHH The Sherpa,Công ty TNHH The Sherpa,Công ty TNHH The Sherpa,Công ty TNHH The Sherpa,Công ty TNHH The Sherpa,,
Cho vay,Công ty TNHH The Sherpa > Cho vay,Cho vay,-,5.656.755.265.760,,5656755265760.0
Thu hồi khoản cho vay,Công ty TNHH The Sherpa > Thu hồi khoản cho vay,Thu hồi khoản cho vay,-,5.656.755.265.760,,5656755265760.0
Thu nhập lãi cho vay,Công ty TNHH The Sherpa > Thu nhập lãi cho vay,Thu nhập lãi cho vay,-,24.796.735.412,,24796735412.0
Công ty Cổ phần Bột giặt NET,Công ty Cổ phần Bột giặt NET,Công ty Cổ phần Bột giặt NET,Công ty Cổ phần Bột giặt NET,Công ty Cổ phần Bột giặt NET,,
Mua hàng hóa,Công ty Cổ phần Bột giặt NET > Mua hàng hóa,Mua hàng hóa,67.080.748,-,67080748.0,
Công ty Cổ phần Mobicast,Công ty Cổ phần Mobicast,Công ty Cổ phần Mobicast,Công ty Cổ phần Mobicast,Công ty Cổ phần Mobicast,,
Mua dịch vụ,Công ty Cổ phần Mobicast > Mua dịch vụ,Mua dịch vụ,636.596.708,-,636596708.0,
Công ty Cổ phần Phúc Long Heritage,Công ty Cổ phần Phúc Long Heritage,Công ty Cổ phần Phúc Long Heritage,Công ty Cổ phần Phúc Long Heritage,Công ty Cổ phần Phúc Long Heritage,,
Mua hàng hóa,Công ty Cổ phần Phúc Long Heritage > Mua hàng hóa,Mua hàng hóa,507.127.640,-,507127640.0,
Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,,
Mua hàng hóa,Công ty TNHH Một Thành viên Masan Brewery Distribution > Mua hàng hóa,Mua hàng hóa,-,786.034.908,,786034908.0
Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Wincommerce,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Wincommerce,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Wincommerce,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Wincommerce,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Wincommerce,,
Bán hàng hóa,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Wincommerce > Bán hàng hóa,Bán hàng hóa,1.373.797.675.724,1.756.884.913.443,1373797675724.0,1756884913443.0
Mua hàng hóa,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Wincommerce > Mua hàng hóa,Mua hàng hóa,21.287.546.880,15.008.557.876,21287546880.0,15008557876.0
Mua chứng khoán kinh doanh,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Wincommerce > Mua chứng khoán kinh doanh,Mua chứng khoán kinh doanh,318.566.584.115,-,318566584115.0,
Bán chứng khoán kinh doanh,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Wincommerce > Bán chứng khoán kinh doanh,Bán chứng khoán kinh doanh,565.569.782.326,-,565569782326.0,
Bán tài sản cố định,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Wincommerce > Bán tài sản cố định,Bán tài sản cố định,13.505.557,-,13505557.0,
Công ty TNHH Zenith Investment,Công ty TNHH Zenith Investment,Công ty TNHH Zenith Investment,Công ty TNHH Zenith Investment,Công ty TNHH Zenith Investment,,
