row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển và truyền dẫn VND,Dụng cụ văn phòng VND,Heo giống VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển và truyền dẫn VND,numeric__Dụng cụ văn phòng VND,numeric__Heo giống VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.710.394.986.921,1.326.505.113.611,74.472.349.148,32.546.856.195,3.010.232.928,4.146.929.538.803,2710394986921.0,1326505113611.0,74472349148.0,32546856195.0,3010232928.0,4146929538803.0
Tăng do hợp nhất kinh doanh,Nguyên giá > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,124.146.694.156,301.816.647.584,-,2.754.954.940,-,428.718.296.680,124146694156.0,301816647584.0,,2754954940.0,,428718296680.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,10.190.939.217,23.440.022.951,2.278.208.082,491.685.980,-,36.400.856.230,10190939217.0,23440022951.0,2278208082.0,491685980.0,,36400856230.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,446.473.244.141,439.581.975.751,3.893.207.879,751.047.186,-,890.699.474.957,446473244141.0,439581975751.0,3893207879.0,751047186.0,,890699474957.0
Thanh lý và xóa sổ,Nguyên giá > Thanh lý và xóa sổ,Thanh lý và xóa sổ,(3.404.609.874),(40.028.058.060),(2.107.941.444),(387.644.808),(1.602.377.751),(47.530.631.937),-3404609874.0,-40028058060.0,-2107941444.0,-387644808.0,-1602377751.0,-47530631937.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,2.360.000.000,-,-,-,2.360.000.000,,2360000000.0,,,,2360000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.287.801.254.561,2.053.675.701.837,78.535.823.665,36.156.899.493,1.407.855.177,5.457.577.534.733,3287801254561.0,2053675701837.0,78535823665.0,36156899493.0,1407855177.0,5457577534733.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,239.843.081.039,184.760.368.251,15.844.438.083,11.953.609.682,586.653.432,452.988.150.487,239843081039.0,184760368251.0,15844438083.0,11953609682.0,586653432.0,452988150487.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,136.741.467.258,117.850.139.571,8.599.673.457,6.412.600.267,476.908.636,270.080.789.189,136741467258.0,117850139571.0,8599673457.0,6412600267.0,476908636.0,270080789189.0
Thanh lý và xóa sổ,Giá trị hao mòn lũy kế > Thanh lý và xóa sổ,Thanh lý và xóa sổ,(305.141.111),(5.441.254.086),(159.690.738),(99.538.683),(446.915.490),(6.452.540.108),-305141111.0,-5441254086.0,-159690738.0,-99538683.0,-446915490.0,-6452540108.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,729.635.674,-,-,-,729.635.674,,729635674.0,,,,729635674.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,376.279.407.186,297.898.889.410,24.284.420.802,18.266.671.266,616.646.578,717.346.035.242,376279407186.0,297898889410.0,24284420802.0,18266671266.0,616646578.0,717346035242.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.470.551.905.882,1.141.744.745.360,58.627.911.065,20.593.246.513,2.423.579.496,3.693.941.388.316,2470551905882.0,1141744745360.0,58627911065.0,20593246513.0,2423579496.0,3693941388316.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.911.521.847.375,1.755.776.812.427,54.251.402.863,17.890.228.227,791.208.599,4.740.231.499.491,2911521847375.0,1755776812427.0,54251402863.0,17890228227.0,791208599.0,4740231499491.0
