row_label_raw,row_label_full,STT,Tên công ty,Hoạt động chính,Trụ sở,Tỷ lệ lợi ích kinh tế31/12/2022,Tỷ lệ quyềnbiểu quyết31/12/2022,1/1/2022,numeric__Tên công ty,numeric__Hoạt động chính,numeric__Trụ sở,numeric__Tỷ lệ lợi ích kinh tế31/12/2022,numeric__Tỷ lệ quyềnbiểu quyết31/12/2022,numeric__1/1/2022
Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,,,,,,
1,Các công ty con sở hữu trực tiếp > 1,1,Công ty TNHH MNS Meat(“MNS Meat”),Tư vấn quản lý đầu tư,"Khu Công nghiệp Sông Mây, Xã Bắc Son, Huyện Trắng Bom, Tỉnh Đồng Nai, Việt Nam","99,99%","99,99%","99,99%",,,,0.9998999999999999,0.9998999999999999,0.9998999999999999
2,Các công ty con sở hữu trực tiếp > 2,2,Công ty Cổ phần 3F VIỆT(“3F VIỆT”),Chăn nuôi gia cầm và chế biến và bảo quản thịt gia cầm và các sản phẩm chế biến từ thịt gia cầm,"Tầng 10, Tòa nhà Central Plaza, 17 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","51,00%","51,00%","51,00%",,,,0.51,0.51,0.51
3,Các công ty con sở hữu trực tiếp > 3,3,Công ty TNHH MML FarmNghệ An (“Farm Nghệ An”) (*),Chăn nuôi heo,"Xóm Côn Sơn, Xã Hạ Sơn, Huyện Quỳ Hợp, Tỉnh Nghệ An, Việt Nam","100,00%","99,99%","100,00%",,,,1.0,0.9998999999999999,1.0
4,Các công ty con sở hữu trực tiếp > 4,4,Công ty TNHH MEATDeliHN (“Meat Hà Nam”) (*),"Chế biến, bảo quản thịt và các sản phẩm liên quan đến thịt","Khu Công nghiệp Đồng Văn IV, Xã Đại Cương, Huyện Kim Bằng, Tỉnh Hà Nam, Việt Nam","100,00%","99,99%","100,00%",,,,1.0,0.9998999999999999,1.0
5,Các công ty con sở hữu trực tiếp > 5,5,Công ty Cổ phần Masan Jinju (“MSJ”) (**),"Sản xuất xúc xích vô trùng; chế biến, đóng gói thịt hợp; và sản xuất, chế biến thực phẩm","Nhà xưởng F5, Lô 6, Khu Công Nghiệp Tân Đông Hiệp A, Phường Tân Đồng Hiệp, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam","74,99%",-,"74,99%",,,,0.7498999999999999,,0.7498999999999999
