row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối/ (Lỗ lũy kế) VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối/ (Lỗ lũy kế) VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,3.267.148.470.000,2.119.055.015.149,(175.543.000.000),403.360.978.012,2.849.192.687.799,8.463.214.150.960,3267148470000.0,2119055015149.0,-175543000000.0,403360978012.0,2849192687799.0,8463214150960.0
Phát hành cổ phiếu (Thuyết minh 29),Phát hành cổ phiếu (Thuyết minh 29),Phát hành cổ phiếu (Thuyết minh 29),2.736.000.000,(50.000.000),-,-,-,2.686.000.000,2736000000.0,-50000000.0,,,,2686000000.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,(1.602.243.390.300),-,(1.602.243.390.300),,,,-1602243390300.0,,-1602243390300.0
Lợi nhuận/(lỗ) thuần trong năm,Lợi nhuận/(lỗ) thuần trong năm,Lợi nhuận/(lỗ) thuần trong năm,-,-,-,1.330.761.015.768,(77.108.657.171),1.253.652.358.597,,,,1330761015768.0,-77108657171.0,1253652358597.0
Cổ tức được chia bởi các công ty con,Cổ tức được chia bởi các công ty con,Cổ tức được chia bởi các công ty con,-,-,-,-,(1.556.267.048.760),(1.556.267.048.760),,,,,-1556267048760.0,-1556267048760.0
Giảm do ngừng hợp nhất MNS Feed và các công ty con,Giảm do ngừng hợp nhất MNS Feed và các công ty con,Giảm do ngừng hợp nhất MNS Feed và các công ty con,-,-,175.543.000.000,-,(985.425.738.477),(809.882.738.477),,,175543000000.0,,-985425738477.0,-809882738477.0
Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,3.269.884.470.000,2.119.005.015.149,-,131.878.603.480,230.391.243.391,5.751.159.332.020,3269884470000.0,2119005015149.0,,131878603480.0,230391243391.0,5751159332020.0
Phát hành cổ phiếu (Thuyết minh 29),Phát hành cổ phiếu (Thuyết minh 29),Phát hành cổ phiếu (Thuyết minh 29),1.444.930.000,7.174.650.000,-,-,-,8.619.580.000,1444930000.0,7174650000.0,,,,8619580000.0
Tăng do hợp nhất kinh doanh và khác,Tăng do hợp nhất kinh doanh và khác,Tăng do hợp nhất kinh doanh và khác,-,-,-,-,97.481.736.756,97.481.736.756,,,,,97481736756.0,97481736756.0
Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,(145.251.265.423),(88.507.692.036),(233.758.957.459),,,,-145251265423.0,-88507692036.0,-233758957459.0
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,3.271.329.400.000,2.126.179.665.149,-,(13.372.661.943),239.365.288.111,5.623.501.691.317,3271329400000.0,2126179665149.0,,-13372661943.0,239365288111.0,5623501691317.0
