row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Người mua trả tiền trước ngắn hạn (TM số 14),Người mua trả tiền trước ngắn hạn (TM số 14),Người mua trả tiền trước ngắn hạn (TM số 14),Người mua trả tiền trước ngắn hạn (TM số 14),Người mua trả tiền trước ngắn hạn (TM số 14),Người mua trả tiền trước ngắn hạn (TM số 14),Người mua trả tiền trước ngắn hạn (TM số 14),,,,
Bò sửa Tây Nguyên,Người mua trả tiền trước ngắn hạn (TM số 14) > Bò sửa Tây Nguyên,Bò sửa Tây Nguyên,Công ty con,Tạm ứng mua hàng hóa,44.310.775,407.868.003,,,44310775.0,407868003.0
THAGRICO,Người mua trả tiền trước ngắn hạn (TM số 14) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Tạm ứng mua hàng hóa,-,38.138.627,,,,38138627.0
TỔNG CỘNG,Người mua trả tiền trước ngắn hạn (TM số 14) > TỔNG CỘNG,TỔNG CỘNG,,,44.310.775,446.006.630,,,44310775.0,446006630.0
Chi phí phải trả ngắn hạn (TM số 15),Chi phí phải trả ngắn hạn (TM số 15),Chi phí phải trả ngắn hạn (TM số 15),Chi phí phải trả ngắn hạn (TM số 15),Chi phí phải trả ngắn hạn (TM số 15),Chi phí phải trả ngắn hạn (TM số 15),Chi phí phải trả ngắn hạn (TM số 15),,,,
THAGRICO,Chi phí phải trả ngắn hạn (TM số 15) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Lãi vay,148.927.488,-,,,148927488.0,
HAG,Chi phí phải trả ngắn hạn (TM số 15) > HAG,HAG,Công ty mẹ,Lãi vay,-,27.165.722,,,,27165722.0
THACO,Chi phí phải trả ngắn hạn (TM số 15) > THACO,THACO,Cổ đông lớn,Lãi vay,-,5.172.790,,,,5172790.0
TỔNG CỘNG,Chi phí phải trả ngắn hạn (TM số 15) > TỔNG CỘNG,TỔNG CỘNG,,,148.927.488,32.338.512,,,148927488.0,32338512.0
Chi phí phải trả dài hạn (TM số 15),Chi phí phải trả dài hạn (TM số 15),Chi phí phải trả dài hạn (TM số 15),Chi phí phải trả dài hạn (TM số 15),Chi phí phải trả dài hạn (TM số 15),Chi phí phải trả dài hạn (TM số 15),Chi phí phải trả dài hạn (TM số 15),,,,
THACO,Chi phí phải trả dài hạn (TM số 15) > THACO,THACO,Cổ đông lớn,Lãi vay,-,4.633.007,,,,4633007.0
Phải trả ngắn hạn khác (TM số 16),Phải trả ngắn hạn khác (TM số 16),Phải trả ngắn hạn khác (TM số 16),Phải trả ngắn hạn khác (TM số 16),Phải trả ngắn hạn khác (TM số 16),Phải trả ngắn hạn khác (TM số 16),Phải trả ngắn hạn khác (TM số 16),,,,
THAGRICO,Phải trả ngắn hạn khác (TM số 16) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Cán trừ công nợ Thu hộ,636.242.84878.333.840,-,,,6.362428487833384e+16,
HA Rattanakiri,Phải trả ngắn hạn khác (TM số 16) > HA Rattanakiri,HA Rattanakiri,Công ty con,Cán trừ công nợ,223.317.140,-,,,223317140.0,
HA Andong Meas,Phải trả ngắn hạn khác (TM số 16) > HA Andong Meas,HA Andong Meas,Công ty con,Cán trừ công nợ,97.748.420,170.578.561,,,97748420.0,170578561.0
HA Attapeu,Phải trả ngắn hạn khác (TM số 16) > HA Attapeu,HA Attapeu,Công ty con,Cán trừ công nợ,12.897.295,-,,,12897295.0,
Lê Me,Phải trả ngắn hạn khác (TM số 16) > Lê Me,Lê Me,Bên liên quan,Mượn tiền,12.075.567,11.685.000,,,12075567.0,11685000.0
Công ty TNHH Hưng Thắng Lợi Gia Lai,Phải trả ngắn hạn khác (TM số 16) > Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty trong cùng Tập đoàn,Cán trừ công nợ,9.647.776,-,,,9647776.0,
HAQM Lào,Phải trả ngắn hạn khác (TM số 16) > HAQM Lào,HAQM Lào,Công ty con,Cán trừ công nợ,6.004.587,-,,,6004587.0,
HAG,Phải trả ngắn hạn khác (TM số 16) > HAG,HAG,Công ty mẹ,Cán trừ công nợ,2.100.000,-,,,2100000.0,
XNK HAGL,Phải trả ngắn hạn khác (TM số 16) > XNK HAGL,XNK HAGL,Công ty con,Cán trừ công nợ,-,20.359.843,,,,20359843.0
Cao su Đông Dương,Phải trả ngắn hạn khác (TM số 16) > Cao su Đông Dương,Cao su Đông Dương,Công ty có cùng thành viên HĐQT,Mượn tiền,-,138.581,,,,138581.0
TỔNG CỘNG,Phải trả ngắn hạn khác (TM số 16) > TỔNG CỘNG,TỔNG CỘNG,,,1.078.367.473,202.761.985,,,1078367473.0,202761985.0
