row_label_raw,row_label_full,Mã số > 01 > 02 > 03 > 04 > 05 > 06,CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHLỗ kế toán trước thuếĐiều chỉnh cho các khoản:Khấu hao và hao mònCác khoản dự phòngLỗ/(lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ(Lãi)/lỗ từ hoạt động đầu tưChi phí lãi vay,"Thuyết minh > 9, 1022",Năm nay > (25.718.608)6.735.212149.629.64652.471.942(907.820.550)788.585.645,Năm trước > (1.175.601.868)10.450.881292.257.910(4.353.020)141.590.612633.907.437,numeric__CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHLỗ kế toán trước thuếĐiều chỉnh cho các khoản:Khấu hao và hao mònCác khoản dự phòngLỗ/(lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ(Lãi)/lỗ từ hoạt động đầu tưChi phí lãi vay,"numeric__Thuyết minh > 9, 1022",numeric__Năm nay > (25.718.608)6.735.212149.629.64652.471.942(907.820.550)788.585.645,numeric__Năm trước > (1.175.601.868)10.450.881292.257.910(4.353.020)141.590.612633.907.437
08,08,08,Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm/(tăng) các khoản phải thuTăng hàng tồn khoTăng/(giảm) các khoản phải trảGiảm/(tăng) chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộp,26.1,,(101.748.048)(1.094.876.858)(40.622.490)(200.530.506)(2.435.045)(693.029.425)(17.996),,261.0,,
09,09,09,Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm/(tăng) các khoản phải thuTăng hàng tồn khoTăng/(giảm) các khoản phải trảGiảm/(tăng) chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộp,26.1,63.883.287210.594.593(17.475.598)251.106.10173.516(232.184.283),,,261.0,,
10,10,10,Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm/(tăng) các khoản phải thuTăng hàng tồn khoTăng/(giảm) các khoản phải trảGiảm/(tăng) chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộp,26.1,63.883.287210.594.593(17.475.598)251.106.10173.516(232.184.283),,,261.0,,
11,11,11,Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm/(tăng) các khoản phải thuTăng hàng tồn khoTăng/(giảm) các khoản phải trảGiảm/(tăng) chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộp,26.1,63.883.287210.594.593(17.475.598)251.106.10173.516(232.184.283),,,261.0,,
12,12,12,Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm/(tăng) các khoản phải thuTăng hàng tồn khoTăng/(giảm) các khoản phải trảGiảm/(tăng) chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộp,26.1,63.883.287210.594.593(17.475.598)251.106.10173.516(232.184.283),,,261.0,,
14,14,14,Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm/(tăng) các khoản phải thuTăng hàng tồn khoTăng/(giảm) các khoản phải trảGiảm/(tăng) chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộp,26.1,63.883.287210.594.593(17.475.598)251.106.10173.516(232.184.283),,,261.0,,
15,15,15,Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm/(tăng) các khoản phải thuTăng hàng tồn khoTăng/(giảm) các khoản phải trảGiảm/(tăng) chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộp,26.1,63.883.287210.594.593(17.475.598)251.106.10173.516(232.184.283),,,261.0,,
20,20,20,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động kinh doanh,,275.997.616,(2.133.260.368),,,275997616.0,-2133260368.0
II. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TƯ,,,,
21,II. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TƯ > 21,21,Tiền chi để mua sắm tài sản cố định,,(7.148.694),(19.399.933),,,-7148694.0,-19399933.0
