row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Lãi tiền cho vay,Lãi tiền cho vay,Lãi tiền cho vay,725.952.571,696.992.261,725952571.0,696992261.0
Lãi từ thanh lý công ty con (TM số 12.1),Lãi từ thanh lý công ty con (TM số 12.1),Lãi từ thanh lý công ty con (TM số 12.1),166.118.000,-,166118000.0,
Lãi chênh lệch đánh giá lại tỷ giá,Lãi chênh lệch đánh giá lại tỷ giá,Lãi chênh lệch đánh giá lại tỷ giá,25.917.109,-,25917109.0,
Cổ tức,Cổ tức,Cổ tức,15.686.735,10.457.823,15686735.0,10457823.0
Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,63.244,110.956,63244.0,110956.0
Khác,Khác,Khác,-,4.272.809,,4272809.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,933.737.659,711.833.849,933737659.0,711833849.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu với các bên liên quan,Trong đó: > Doanh thu với các bên liên quan,Doanh thu với các bên liên quan,892.070.571,705.568.314,892070571.0,705568314.0
Doanh thu với các bên khác,Trong đó: > Doanh thu với các bên khác,Doanh thu với các bên khác,41.667.088,6.265.535,41667088.0,6265535.0
