row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,(25.718.608),(1.175.601.868),-25718608.0,-1175601868.0
Các điều chỉnh:Chênh lệch giữa lãi suất thực tế và lãi suất danh nghĩa liên quan đến phát hành trái phiếu chuyển đổi,Các điều chỉnh:Chênh lệch giữa lãi suất thực tế và lãi suất danh nghĩa liên quan đến phát hành trái phiếu chuyển đổi,Các điều chỉnh:Chênh lệch giữa lãi suất thực tế và lãi suất danh nghĩa liên quan đến phát hành trái phiếu chuyển đổi,-,63.634.964,,63634964.0
Chi phí không được trừ,Chi phí không được trừ,Chi phí không được trừ,82.794.729,38.693.315,82794729.0,38693315.0
Điều chỉnh thuế TNDN theo Nghị định 68/2020/NĐ-CP (*),Điều chỉnh thuế TNDN theo Nghị định 68/2020/NĐ-CP (*),Điều chỉnh thuế TNDN theo Nghị định 68/2020/NĐ-CP (*),49.493.900,-,49493900.0,
Thu nhập cổ tức,Thu nhập cổ tức,Thu nhập cổ tức,(15.686.735),(10.457.823),-15686735.0,-10457823.0
Thay đổi chi phí phải trả,Thay đổi chi phí phải trả,Thay đổi chi phí phải trả,-,(102.388.641),,-102388641.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,(5.513.933),,-5513933.0
Lợi nhuận chịu thuế/(lỗ tính thuế) thuần điều chỉnh trước khi chuyển lỗ,Lợi nhuận chịu thuế/(lỗ tính thuế) thuần điều chỉnh trước khi chuyển lỗ,Lợi nhuận chịu thuế/(lỗ tính thuế) thuần điều chỉnh trước khi chuyển lỗ,90.883.286,(1.191.633.986),90883286.0,-1191633986.0
Lỗ mang sang từ các năm trước,Lỗ mang sang từ các năm trước,Lỗ mang sang từ các năm trước,(90.883.286),-,-90883286.0,
Điều chỉnh chi phí thuế trích thiếu những năm trước,Điều chỉnh chi phí thuế trích thiếu những năm trước,Điều chỉnh chi phí thuế trích thiếu những năm trước,-,17.996,,17996.0
Chi phí thuế TNDN hiện hành ước tính,Chi phí thuế TNDN hiện hành ước tính,Chi phí thuế TNDN hiện hành ước tính,-,17.996,,17996.0
Thuế TNDN trả trước đầu năm,Thuế TNDN trả trước đầu năm,Thuế TNDN trả trước đầu năm,(285.831),(285.831),-285831.0,-285831.0
Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,-,(17.996),,-17996.0
Thuế TNDN trả trước cuối năm,Thuế TNDN trả trước cuối năm,Thuế TNDN trả trước cuối năm,(285.831),(285.831),-285831.0,-285831.0
