row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Ngàn VND > Năm nay,Ngàn VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Ngàn VND > Năm nay,numeric__Ngàn VND > Năm trước
Bà Kiều Ngọc Hoa,Bà Kiều Ngọc Hoa,Bà Kiều Ngọc Hoa,Cổ đông,VayLãi vay,98.000.0003.423.631,130.000.000-,,,980000003423631.0,
HA Oyadav,HA Oyadav,HA Oyadav,Công ty con Bán hàng hóa và cung cấp dịch vụLãi cho vayMua hàng hóaCho vayChi hộ,Công ty con Bán hàng hóa và cung cấp dịch vụLãi cho vayMua hàng hóaCho vayChi hộ,93.383.14188.289.4988.704.581500.278175.307,89.379.2409.072.819-4.424.136,,,9.338314188289498e+34,
HA Rattanakiri,HA Rattanakiri,HA Rattanakiri,Công ty con,Lãi cho vay,91.622.756,91.068.747,,,91622756.0,91068747.0
XNK HAGL,XNK HAGL,XNK HAGL,Công ty con,"Mua hàng hóaMua nhiên liệu, dịch vụ",45.098.2947.066.968,16.039.84416.787.583,,,450982947066968.0,1603984416787583.0
HAQM Lào,HAQM Lào,HAQM Lào,Công ty con,Mua hàng hóaLãi cho vayBán hàng hóa và cung cấp dịch vụCho vayChi hộ,43.788.64538.750.54313.343.8401.434.45318.532.800,91.681.68920.032.12721.108.43113.709.1472.720.767,,,4.378864538750543e+38,9.168168920032127e+38
"Công ty Cổ phần Gỗ Hoàng Anh Gia Lai (""Gỗ HAGL"")","Công ty Cổ phần Gỗ Hoàng Anh Gia Lai (""Gỗ HAGL"")","Công ty Cổ phần Gỗ Hoàng Anh Gia Lai (""Gỗ HAGL"")",Công ty có cùng thành viên HĐQT,Cho mượnBán hàn hóa và cung cấp dịch vụMua hàng hóa và dịch vụ,41.233.785975.000-,-583.3481.588.619,,,,-5833481588619.0
HAQM Việt Nam,HAQM Việt Nam,HAQM Việt Nam,Công ty con,"Cho vay, mượnLãi cho vay",31.686.35071.168.694,628.164.13870.978.210,,,3168635071168694.0,6.281641387097821e+16
HA Đắk Lắk,HA Đắk Lắk,HA Đắk Lắk,Công ty con,Mua hàng hóaBán hàng hóa và cung cấp dịch vụLãi cho vayChi hộCho vay,29.483.03210.930.047961.054505.440-,34.657.54015.559.30011.756.006-2.377.421,,,,
Công ty Cổ phần Cao su Bidiphar,HA Đắk Lắk > Công ty Cổ phần Cao su Bidiphar,Công ty Cổ phần Cao su Bidiphar,Công ty liên kết,Cổ tức,15.686.735,10.457.823,,,15686735.0,10457823.0
"Công ty TNHH MTV Vận tải Đường bộ Chu Lai Trường Hải (""Đường bộ Chu Lai"")","HA Đắk Lắk > Công ty TNHH MTV Vận tải Đường bộ Chu Lai Trường Hải (""Đường bộ Chu Lai"")","Công ty TNHH MTV Vận tải Đường bộ Chu Lai Trường Hải (""Đường bộ Chu Lai"")",Công ty có cùng thành viên HĐQT,Mua hàng hóa và dịch vụ,9.807.295,24.683.368,,,9807295.0,24683368.0
"Công ty Cổ phần Cao su Trung Nguyên (""Cao su Trung Nguyên"")","HA Đắk Lắk > Công ty Cổ phần Cao su Trung Nguyên (""Cao su Trung Nguyên"")","Công ty Cổ phần Cao su Trung Nguyên (""Cao su Trung Nguyên"")",Công ty có cùng thành viên HĐQT,Chỉ phí lãi vayBán hàng hóaLãi cho vayMua hàng hóaCho vay,8.052.634-,-18.051.25816.822.5089.678.1378.874.886,,,,-1.805125816822509e+29
