row_label_raw,row_label_full,THAGRICO,Công ty có cùng thành viên HĐQT,Chuyển nhượng công ty con Bán hàng hóa,2.350.000.000 280.542.963,-,numeric__Công ty có cùng thành viên HĐQT,numeric__Chuyển nhượng công ty con Bán hàng hóa,numeric__2.350.000.000 280.542.963,numeric__-
HA Attapeu,HA Attapeu,HA Attapeu,Công ty con,Bán hàng hóa,633.101.360,345.984.130,,,633101360.0,345984130.0
HA Oyadav,HA Oyadav,HA Oyadav,Công ty con,Bán hàng hóa,93.181.868,-,,,93181868.0,
HAQM Lào,HAQM Lào,HAQM Lào,Công ty con,Bán hàng hóa,29.770.527,16.569.731,,,29770527.0,16569731.0
HAG,HAG,HAG,Công ty mẹ,Bán hàng hóa,5.777.094,22.887.524,,,5777094.0,22887524.0
"Công ty Cổ phần Chăn Nuôi Gia Lai (""Chăn Nuôi Gia Lai"")","Công ty Cổ phần Chăn Nuôi Gia Lai (""Chăn Nuôi Gia Lai"")","Công ty Cổ phần Chăn Nuôi Gia Lai (""Chăn Nuôi Gia Lai"")",Công ty trong cùng Tập đoàn,Bán hàng hóa,2.695.102,-,,,2695102.0,
Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty trong cùng Tập đoàn,Bán hàng hóa,1.300.000,-,,,1300000.0,
HA Andong Meas,HA Andong Meas,HA Andong Meas,Công ty con,Bán hàng hóa,437.909,102.189.249,,,437909.0,102189249.0
Chi nhánh Cơ Khí - Công ty Cổ phần Hoàng Anh Gia Lai,Chi nhánh Cơ Khí - Công ty Cổ phần Hoàng Anh Gia Lai,Chi nhánh Cơ Khí - Công ty Cổ phần Hoàng Anh Gia Lai,Công ty trong cùng Tập đoàn,Bán hàng hóa,250.964,-,,,250964.0,
Công ty Cổ phần Thể thao Hoàng Anh,Công ty Cổ phần Thể thao Hoàng Anh,Công ty Cổ phần Thể thao Hoàng Anh,Công ty trong cùng Tập đoàn,Bán hàng hóa,186.299,186.305,,,186299.0,186305.0
XNK HAGL,XNK HAGL,XNK HAGL,Công ty con,Bán hàng hóa,2.580,-,,,2580.0,
Nông Nghiệp Daun Penh,Nông Nghiệp Daun Penh,Nông Nghiệp Daun Penh,Công ty có cùng thành viên HĐQT,Bán hàng hóa,-,79.031.577,,,,79031577.0
HA Lumphat,HA Lumphat,HA Lumphat,Công ty có cùng thành viên HĐQT,Bán hàng hóa,-,64.315.732,,,,64315732.0
Công ty TNHH Bình Phước Kratie 2,Công ty TNHH Bình Phước Kratie 2,Công ty TNHH Bình Phước Kratie 2,Công ty trong cùng Tập đoàn,Bán hàng hóa,-,18.707.431,,,,18707431.0
HA Đắk Lắk,HA Đắk Lắk,HA Đắk Lắk,Công ty con,Bán hàng hóa,-,14.735.425,,,,14735425.0
Cao su Trung Nguyên,Cao su Trung Nguyên,Cao su Trung Nguyên,Công ty có cùng thành viên HĐQT,Bán hàng hóa,-,8.965.806,,,,8965806.0
"Công ty TNHH Eastern (Campuchia) (""Eastern"")","Công ty TNHH Eastern (Campuchia) (""Eastern"")","Công ty TNHH Eastern (Campuchia) (""Eastern"")",Công ty có cùng thành viên HĐQT,Bán hàng hóa,-,4.948.622,,,,4948622.0
Gỗ HAGL,Gỗ HAGL,Gỗ HAGL,Công ty có cùng thành viên HĐQT,Bán hàng hóa,-,580.030,,,,580030.0
