row_label_raw,row_label_full,Ông Trần Bá Dương > Ông Đoàn Nguyễn Đức > Ông Trần Bảo Sơn > Ông Nguyễn Hoàng Phi,Chủ tịch > Phó Chủ tịch > Thành viên,bổ nhiệm ngày 8 tháng 1 năm 2021 > miễn nhiệm ngày 8 tháng 1 năm 2021 > bổ nhiệm ngày 8 tháng 1 năm 2021 > miễn nhiệm ngày 26 tháng 6 năm 2020 > bổ nhiệm ngày 8 tháng 1 năm 2021 > bổ nhiệm ngày 26 tháng 6 năm 2020,numeric__Chủ tịch > Phó Chủ tịch > Thành viên,numeric__bổ nhiệm ngày 8 tháng 1 năm 2021 > miễn nhiệm ngày 8 tháng 1 năm 2021 > bổ nhiệm ngày 8 tháng 1 năm 2021 > miễn nhiệm ngày 26 tháng 6 năm 2020 > bổ nhiệm ngày 8 tháng 1 năm 2021 > bổ nhiệm ngày 26 tháng 6 năm 2020
Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Thành viên,,,
Ông Đỗ Xuân Diện,Ông Đỗ Xuân Diện,Ông Đỗ Xuân Diện,Phó Chủ tịch,miễn nhiệm ngày 8 tháng 1 năm 2021,,
Ông Võ Trường Sơn,Ông Võ Trường Sơn,Ông Võ Trường Sơn,Thành viên,miễn nhiệm ngày 8 tháng 1 năm 2021,,
Ông Nguyễn Quan Anh,Ông Nguyễn Quan Anh,Ông Nguyễn Quan Anh,Thành viên,miễn nhiệm ngày 8 tháng 1 năm 2021,,
Bà Võ Thị Huyền Lan,Bà Võ Thị Huyền Lan,Bà Võ Thị Huyền Lan,Thành viên,miễn nhiệm ngày 26 tháng 6 năm 2020,,
