row_label_raw,row_label_full,col_0,Vay ngắn hạn,Vay dài hạn,Ngàn VND Tổng cộng,numeric__Vay ngắn hạn,numeric__Vay dài hạn,numeric__Ngàn VND Tổng cộng
Số đầu năm,Số đầu năm,Số đầu năm,3.434.964.167,1.791.767.499,5.226.731.666,3434964167.0,1791767499.0,5226731666.0
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,2.482.769.079,3.770.252.263,6.253.021.342,2482769079.0,3770252263.0,6253021342.0
Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,(2.247.170.060),(50.000.000),(2.297.170.060),-2247170060.0,-50000000.0,-2297170060.0
Cán trừ công nợ,Cán trừ công nợ,Cán trừ công nợ,1.436.706.403,(1.072.624.869),364.081.534,1436706403.0,-1072624869.0,364081534.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,3.414.303.006,(3.414.303.006),-,3414303006.0,-3414303006.0,
Tái cấu trúc nợ vay,Tái cấu trúc nợ vay,Tái cấu trúc nợ vay,(1.841.722.000),1.841.722.000,-,-1841722000.0,1841722000.0,
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,-,(5.160.405),(5.160.405),,-5160405.0,-5160405.0
Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,-,2.006.824,2.006.824,,2006824.0,2006824.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(239.545),(1.008.118),(1.247.663),-239545.0,-1008118.0,-1247663.0
Số cuối năm,Số cuối năm,Số cuối năm,6.679.611.050,2.862.652.188,9.542.263.238,6679611050.0,2862652188.0,9542263238.0
