row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quyền chọn trái phiếu chuyển đổi,Lợi nhuận sau thuế chưa phân phối/(Lỗ lũy kế),Ngàn VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quyền chọn trái phiếu chuyển đổi,numeric__Lợi nhuận sau thuế chưa phân phối/(Lỗ lũy kế),numeric__Ngàn VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,8.868.438.950,1.064.550.810,105.576.190,1.109.665.220,11.148.231.170,8868438950.0,1064550810.0,105576190.0,1109665220.0,11148231170.0
Hoán đổi trái phiếu chuyển đổi thành cổ phiếu phổ thông,Năm trước > Hoán đổi trái phiếu chuyển đổi thành cổ phiếu phổ thông,Hoán đổi trái phiếu chuyển đổi thành cổ phiếu phổ thông,2.217.100.000,105.576.190,(105.576.190),-,2.217.100.000,2217100000.0,105576190.0,-105576190.0,,2217100000.0
"Chia thù lao cho HĐQT, BKS và Ban thư ký HĐQT","Năm trước > Chia thù lao cho HĐQT, BKS và Ban thư ký HĐQT","Chia thù lao cho HĐQT, BKS và Ban thư ký HĐQT",-,-,-,(1.561.000),(1.561.000),,,,-1561000.0,-1561000.0
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,(1.175.619.864),(1.175.619.864),,,,-1175619864.0,-1175619864.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,11.085.538.950,1.170.127.000,-,(67.515.644),12.188.150.306,11085538950.0,1170127000.0,,-67515644.0,12188150306.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,11.085.538.950,1.170.127.000,-,(67.515.644),12.188.150.306,11085538950.0,1170127000.0,,-67515644.0,12188150306.0
"Chia thù lao cho HĐQT, BKS và Ban thư ký HĐQT","Năm nay > Chia thù lao cho HĐQT, BKS và Ban thư ký HĐQT","Chia thù lao cho HĐQT, BKS và Ban thư ký HĐQT",-,-,-,(1.200.000),(1.200.000),,,,-1200000.0,-1200000.0
Lỗ thuần trong năm,Năm nay > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,(25.718.608),(25.718.608),,,,-25718608.0,-25718608.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,11.085.538.950,1.170.127.000,-,(94.434.252),12.161.231.698,11085538950.0,1170127000.0,,-94434252.0,12161231698.0
