row_label_raw,row_label_full,col_0,Ngàn VNDChương trìnhphần mềm,numeric__Ngàn VNDChương trìnhphần mềm
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Chuyển từ xây dựng cơ bảnđở dang hoàn thành,Số đầu năm > Chuyển từ xây dựng cơ bảnđở dang hoàn thành,Chuyển từ xây dựng cơ bảnđở dang hoàn thành,4.380.000,4380000.0
Mua mới,Số đầu năm > Mua mới,Mua mới,1.600.000,1600000.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,5.980.000,5980000.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Hao mòn trong năm,Số đầu năm > Hao mòn trong năm,Hao mòn trong năm,498.333,498333.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,498.333,498333.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,5.481.667,5481667.0
