row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Ngàn VND > Năm nay,Ngàn VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Ngàn VND > Năm nay,numeric__Ngàn VND > Năm trước
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Vay,3.105.781.212,-,,,3105781212.0,
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Chuyển nhượng công ty con,2.350.000.000,6.993.691.293,,,2350000000.0,6993691293.0
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Cán trừ công nợ Mua hàng hóa và dịch vụ,1.984.700.086,-,,,1984700086.0,
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Lãi vay,206.553.273,72.225.810,,,206553273.0,72225810.0
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Bán hàng hóa Thu hộ,191.978.202,-,,,191978202.0,
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Bán hàng hóa Thu hộ,122.808.781,808.659.349,,,122808781.0,808659349.0
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Bán hàng hóa Thu hộ,78.333.840,-,,,78333840.0,
THACO,THACO,THACO,Cổ đông lớn,Vay,1.591.618.877,2.588.289.459,,,1591618877.0,2588289459.0
THACO,THACO,THACO,Cổ đông lớn,Trả gốc vay,1.375.438.452,1.631.696.000,,,1375438452.0,1631696000.0
THACO,THACO,THACO,Cổ đông lớn,Lãi vay,173.725.451,94.567.711,,,173725451.0,94567711.0
HAG,HAG,HAG,Công ty mẹ,Cho mượn,711.152.864,80.404.642,,,711152864.0,80404642.0
HAG,HAG,HAG,Công ty mẹ,Lãi vay,217.249.953,200.398.547,,,217249953.0,200398547.0
HAG,HAG,HAG,Công ty mẹ,Vay và mượn,154.101.500,1.242.148.420,,,154101500.0,1242148420.0
HAG,HAG,HAG,Công ty mẹ,Bán hàng hóa,11.577.560,40.900.991,,,11577560.0,40900991.0
HAG,HAG,HAG,Công ty mẹ,Trả gốc vay,-,2.663.331.840,,,,2663331840.0
HAG,HAG,HAG,Công ty mẹ,Mua hàng hóa và vật tư,-,29.775.964,,,,29775964.0
An Đông Mia,An Đông Mia,An Đông Mia,Công ty có cùng thành viên HĐQT,"Cho vay, mượn",491.430.611,361.900.372,,,491430611.0,361900372.0
An Đông Mia,An Đông Mia,An Đông Mia,Công ty có cùng thành viên HĐQT,Lãi cho vay,12.591.388,4.947.979,,,12591388.0,4947979.0
Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con,Cho vay,443.784.509,9.263.955,,,443784509.0,9263955.0
Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con,Lãi cho vay,43.726.310,31.203.388,,,43726310.0,31203388.0
Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con,Bán hàng hóa và cung cấp dịch vụ,15.837.787,21.044.678,,,15837787.0,21044678.0
Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con,Mua hàng hóa,9.494.230,21.685.778,,,9494230.0,21685778.0
Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con,Chi hộ,6.037.200,500.029.652,,,6037200.0,500029652.0
HA Attapeu,HA Attapeu,HA Attapeu,Công ty con,Bán hàng hóa và cung cấp dịch vụ,377.064.729,300.970.113,,,377064729.0,300970113.0
HA Attapeu,HA Attapeu,HA Attapeu,Công ty con,Lãi cho vay,356.767.570,326.865.676,,,356767570.0,326865676.0
HA Attapeu,HA Attapeu,HA Attapeu,Công ty con,Mua hàng hóa,291.230.292,340.736.999,,,291230292.0,340736999.0
HA Attapeu,HA Attapeu,HA Attapeu,Công ty con,"Cho vay, mượn",87.046.764,330.390.239,,,87046764.0,330390239.0
HA Attapeu,HA Attapeu,HA Attapeu,Công ty con,Chi hộ,44.114.737,126.747.893,,,44114737.0,126747893.0
HA Andong Meas,HA Andong Meas,HA Andong Meas,Công ty con,Mua hàng hóa,309.000.120,385.998.939,,,309000120.0,385998939.0
HA Andong Meas,HA Andong Meas,HA Andong Meas,Công ty con,Bán hàng hóa và cung cấp dịch vụ,118.930.349,90.458.345,,,118930349.0,90458345.0
HA Andong Meas,HA Andong Meas,HA Andong Meas,Công ty con,Lãi cho vay,21.514.397,27.401.490,,,21514397.0,27401490.0
HA Andong Meas,HA Andong Meas,HA Andong Meas,Công ty con,Chi hộ,13.094.640,-,,,13094640.0,
HA Andong Meas,HA Andong Meas,HA Andong Meas,Công ty con,Cho vay,5.609.814,151.974.002,,,5609814.0,151974002.0
HA Lymphat,HA Lymphat,HA Lymphat,Công ty có cùng thành viên HĐQT,Bán hàng hóa và cung cấp dịch vụ,106.151.385,64.307.595,,,106151385.0,64307595.0
HA Lymphat,HA Lymphat,HA Lymphat,Công ty có cùng thành viên HĐQT,Mua hàng hóa,94.211.448,123.570.560,,,94211448.0,123570560.0
HA Lymphat,HA Lymphat,HA Lymphat,Công ty có cùng thành viên HĐQT,Cho vay,1.196.603,9.294.800,,,1196603.0,9294800.0
HA Lymphat,HA Lymphat,HA Lymphat,Công ty có cùng thành viên HĐQT,Lãi cho vay,560.362,700.548,,,560362.0,700548.0
HA Lymphat,HA Lymphat,HA Lymphat,Công ty có cùng thành viên HĐQT,Chi hộ,-,6.733.153,,,,6733153.0
